# lat,lng,id,name,building_type,type,url,page_type
# sala_consilina -- restaurants
40.359697,15.620232,ov_la_pietra_azzurra___vallo_di_diano_40.3597_15.6202,La Pietra Azzurra - Vallo di Diano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/la_pietra_azzurra_-_vallo_di_diano_40.3597_15.6202.json,custom
40.370302,15.611670,ov_desir___catering_40.3703_15.6117,Desirè  Catering,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/desir_catering_40.3703_15.6117.json,custom
40.367690,15.613831,ov_mcdonald_s_40.3677_15.6138,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/mcdonalds_40.3677_15.6138.json,custom
40.365079,15.616683,ov_terra_mia_pizzeria_40.3651_15.6167,Terra Mia Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/terra_mia_pizzeria_40.3651_15.6167.json,custom
40.376555,15.608475,ov_pasta_fresca_trinita_40.3766_15.6085,Pasta Fresca Trinita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/pasta_fresca_trinita_40.3766_15.6085.json,custom
40.375230,15.608669,ov_osteria_del_gambero_40.3752_15.6087,Osteria del Gambero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/osteria_del_gambero_40.3752_15.6087.json,custom
40.374997,15.608856,ov_secret_garden___sushi___cocktail___more_40.3750_15.6089,Secret Garden | Sushi - Cocktail - More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/secret_garden_sushi_-_cocktail_-_more_40.3750_15.6089.json,custom
40.374411,15.609036,ov_ristorante_trinita__da_ciciotto_40.3744_15.6090,Ristorante Trinita' da Ciciotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/ristorante_trinita_da_ciciotto_40.3744_15.6090.json,custom
40.372870,15.607196,ov_ristorante_il_boccon_divino_40.3729_15.6072,Ristorante Il Boccon Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/ristorante_il_boccon_divino_40.3729_15.6072.json,custom
40.377480,15.604084,ov_villa_delle_acacie_40.3775_15.6041,Villa delle Acacie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/villa_delle_acacie_40.3775_15.6041.json,custom
