# lat,lng,id,name,building_type,type,url,page_type
# vipiteno -- restaurants
46.927539,11.477736,ov_prantneralm_46.9275_11.4777,Prantneralm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/prantneralm_46.9275_11.4777.json,custom
46.905759,11.430922,ov_the_kitchen___der_treffpunkt_by_angi_46.9058_11.4309,The Kitchen - Der Treffpunkt by Angi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/the_kitchen_-_der_treffpunkt_by_angi_46.9058_11.4309.json,custom
46.900180,11.430103,ov_ristorante_moms_fast_food_46.9002_11.4301,Ristorante Moms Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/ristorante_moms_fast_food_46.9002_11.4301.json,custom
46.897750,11.431337,ov_restaurant_pizzeria_kolping_46.8977_11.4313,Restaurant Pizzeria Kolping,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/restaurant_pizzeria_kolping_46.8977_11.4313.json,custom
46.897450,11.432445,ov_ristorante_kleine_flamme_46.8974_11.4324,Ristorante Kleine Flamme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/ristorante_kleine_flamme_46.8974_11.4324.json,custom
46.896255,11.432358,ov_ristorante_bai_he_xuan_46.8963_11.4324,Ristorante Bai He Xuan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/ristorante_bai_he_xuan_46.8963_11.4324.json,custom
46.898241,11.433491,ov_ristorante_arbor_stube_46.8982_11.4335,Ristorante arbor Stube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/ristorante_arbor_stube_46.8982_11.4335.json,custom
46.893548,11.437112,ov_restaurant_pizzeria_tie_break_46.8935_11.4371,Restaurant Pizzeria Tie Break,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/restaurant_pizzeria_tie_break_46.8935_11.4371.json,custom
46.893538,11.437876,ov_tennis_bacher_cafe_46.8935_11.4379,Tennis Bacher Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/tennis_bacher_cafe_46.8935_11.4379.json,custom
46.904048,11.429837,ov_biwak_restaurant_pizzeria_pub_46.9040_11.4298,Biwak Restaurant Pizzeria Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/biwak_restaurant_pizzeria_pub_46.9040_11.4298.json,custom
46.914420,11.394227,ov_sternhutte_rosskopf_46.9144_11.3942,Sternhutte Rosskopf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/sternhutte_rosskopf_46.9144_11.3942.json,custom
