# lat,lng,id,name,building_type,type,url,page_type
# foiano_della_chiana -- bars_cafes.csv
43.222581,11.809913,ov_ziosmoke_caf__43.2226_11.8099,ZioSmoke Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ziosmoke_caf_43.2226_11.8099.json,custom
43.223310,11.809370,ov_bar_magnifici_otto_43.2233_11.8094,Bar Magnifici Otto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/bar_magnifici_otto_43.2233_11.8094.json,custom
43.223715,11.809503,ov_sivoc_srl_stazione_di_servizio_ip_43.2237_11.8095,SIVOC srl Stazione Di Servizio IP,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/sivoc_srl_stazione_di_servizio_ip_43.2237_11.8095.json,custom
43.224990,11.801802,ov_terre_di_masaccio_43.2250_11.8018,Terre Di Masaccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/terre_di_masaccio_43.2250_11.8018.json,custom
43.231753,11.816038,ov_bar_osteria_le_case_nuove_43.2318_11.8160,Bar Osteria Le Case Nuove,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/bar_osteria_le_case_nuove_43.2318_11.8160.json,custom
43.231815,11.815776,ov_la_tabaccheria_del_doc_43.2318_11.8158,La Tabaccheria Del Doc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/la_tabaccheria_del_doc_43.2318_11.8158.json,custom
43.252799,11.818846,ov_bell_s_pub_43.2528_11.8188,Bell's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/bells_pub_43.2528_11.8188.json,custom
43.251084,11.817945,ov_ristorante_panormos_43.2511_11.8179,Ristorante Panormos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_panormos_43.2511_11.8179.json,custom
43.250000,11.816700,ov_al_chiaro_di_luna_43.2500_11.8167,Al Chiaro di Luna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/al_chiaro_di_luna_43.2500_11.8167.json,custom
43.255129,11.814237,ov_la_grande_mela_di_brini_marco_43.2551_11.8142,La Grande Mela Di Brini Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/la_grande_mela_di_brini_marco_43.2551_11.8142.json,custom
43.253233,11.817304,ov_i_segni_del_tempo_jolly_caffe_43.2532_11.8173,I Segni Del Tempo Jolly Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/i_segni_del_tempo_jolly_caffe_43.2532_11.8173.json,custom
43.253130,11.818950,ov_toscina_wine_bar_43.2531_11.8189,Toscina Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/toscina_wine_bar_43.2531_11.8189.json,custom
43.253144,11.819092,ov_beverya_43.2531_11.8191,Beverya,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/beverya_43.2531_11.8191.json,custom
43.253590,11.816350,ov_red_lion_pub___ex_janus_43.2536_11.8163,RED LION PUB - ex Janus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/red_lion_pub_-_ex_janus_43.2536_11.8163.json,custom
43.253792,11.816333,ov_bar_ancora_noi_43.2538_11.8163,Bar Ancora Noi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/bar_ancora_noi_43.2538_11.8163.json,custom
43.260897,11.804348,ov_bar_valeria_43.2609_11.8043,Bar Valeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/bar_valeria_43.2609_11.8043.json,custom
43.263294,11.820593,ov_circolo_renzino_foiano_43.2633_11.8206,Circolo Renzino Foiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/circolo_renzino_foiano_43.2633_11.8206.json,custom
