# lat,lng,id,name,building_type,type,url,page_type
# campli -- restaurants.csv
42.769768,13.748911,ov_bar_trattoria_olivieri___arrosticini_42.7698_13.7489,Bar Trattoria Olivieri - arrosticini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/bar_trattoria_olivieri_-_arrosticini_42.7698_13.7489.json,custom
42.769854,13.748911,ov_defla_42.7699_13.7489,Defla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/defla_42.7699_13.7489.json,custom
42.744501,13.747167,ov_agriturismo_il_montanaro_42.7445_13.7472,Agriturismo Il Montanaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/agriturismo_il_montanaro_42.7445_13.7472.json,custom
42.759603,13.715108,ov_porchetta_di_campli_42.7596_13.7151,Porchetta di Campli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/porchetta_di_campli_42.7596_13.7151.json,custom
42.723879,13.727222,ov_ristorante_pizzeria_da_ermanno_e_milva_42.7239_13.7272,Ristorante Pizzeria Da Ermanno e Milva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/ristorante_pizzeria_da_ermanno_e_milva_42.7239_13.7272.json,custom
42.707889,13.663026,ov_trattoria_la_grotta_farnese_42.7079_13.6630,Trattoria La Grotta Farnese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/trattoria_la_grotta_farnese_42.7079_13.6630.json,custom
42.729360,13.656211,ov_parco_dei_piceni_42.7294_13.6562,Parco dei Piceni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/parco_dei_piceni_42.7294_13.6562.json,custom
42.728808,13.663303,ov_il_tentacono_frutteria_gelateria_42.7288_13.6633,IL Tentacono Frutteria Gelateria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/il_tentacono_frutteria_gelateria_42.7288_13.6633.json,custom
42.713566,13.661618,ov_ristorante_pizzeria_eclisse_42.7136_13.6616,Ristorante pizzeria Eclisse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/ristorante_pizzeria_eclisse_42.7136_13.6616.json,custom
42.719150,13.674830,ov_eclisse___di_armando_capriotti___42.7191_13.6748,Eclisse - di Armando Capriotti -,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/eclisse_-_di_armando_capriotti_-_42.7191_13.6748.json,custom
42.725361,13.685946,ov_refettorio_della_misericordia_42.7254_13.6859,Refettorio Della Misericordia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/refettorio_della_misericordia_42.7254_13.6859.json,custom
42.726193,13.686386,ov_il_tubero_d_oro_42.7262_13.6864,Il Tubero d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/il_tubero_doro_42.7262_13.6864.json,custom
42.726486,13.686470,ov_ristorante_pizzeria_tunnel_42.7265_13.6865,Ristorante Pizzeria Tunnel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/ristorante_pizzeria_tunnel_42.7265_13.6865.json,custom
42.772245,13.754247,ov_agriturismo_il_colle_delle_delizie_42.7722_13.7542,Agriturismo Il Colle delle Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/agriturismo_il_colle_delle_delizie_42.7722_13.7542.json,custom
