# lat,lng,id,name,building_type,type,url,page_type
# villa_san_giovanni -- restaurants.csv
38.245445,15.680686,ov_l_incanto_santa_trada_38.2454_15.6807,L'Incanto Santa Trada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/lincanto_santa_trada_38.2454_15.6807.json,custom
38.245487,15.683963,ov_borgo_santa_trada_al_pilone_38.2455_15.6840,Borgo Santa Trada al Pilone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/borgo_santa_trada_al_pilone_38.2455_15.6840.json,custom
38.247944,15.684463,ov_ristorante_origini_costa_viola_38.2479_15.6845,Ristorante Origini Costa Viola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/ristorante_origini_costa_viola_38.2479_15.6845.json,custom
38.248165,15.687360,ov_il_gabbiano_38.2482_15.6874,Il Gabbiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/il_gabbiano_38.2482_15.6874.json,custom
38.241091,15.675741,ov_ristorantino_chiringuito_38.2411_15.6757,Ristorantino Chiringuito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/ristorantino_chiringuito_38.2411_15.6757.json,custom
38.242130,15.686530,ov_le_leonesse_38.2421_15.6865,Le Leonesse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/le_leonesse_38.2421_15.6865.json,custom
38.241660,15.673000,ov_ristorante__pizzeria__b_b_scilla___carid_38.2417_15.6730,"Ristorante, Pizzeria, B&B Scilla & Cariddi",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/ristorante_pizzeria_bb_scilla_cariddi_38.2417_15.6730.json,custom
38.241552,15.672748,ov_scilla_e_cariddi_da_andrea_38.2416_15.6727,Scilla e Cariddi da Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/scilla_e_cariddi_da_andrea_38.2416_15.6727.json,custom
38.234010,15.649120,ov_ristorante_la_bottarga_38.2340_15.6491,Ristorante La Bottarga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/ristorante_la_bottarga_38.2340_15.6491.json,custom
38.234037,15.648741,ov_ristorante_boccaccio_38.2340_15.6487,Ristorante Boccaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/ristorante_boccaccio_38.2340_15.6487.json,custom
38.233880,15.646070,ov_bahia_beach_club_38.2339_15.6461,Bahia Beach Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bahia_beach_club_38.2339_15.6461.json,custom
38.233980,15.645810,ov_piky_beach_38.2340_15.6458,Piky beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/piky_beach_38.2340_15.6458.json,custom
38.230473,15.636048,ov_fermento_pizzeria_38.2305_15.6360,Fermento Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/fermento_pizzeria_38.2305_15.6360.json,custom
38.230721,15.636103,ov_vecchio_porto_38.2307_15.6361,Vecchio Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/vecchio_porto_38.2307_15.6361.json,custom
38.234356,15.651643,ov_boccaccio_il_pescatore_38.2344_15.6516,Boccaccio Il Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/boccaccio_il_pescatore_38.2344_15.6516.json,custom
38.234520,15.652013,ov_lido_coco_beach_38.2345_15.6520,Lido Coco Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/lido_coco_beach_38.2345_15.6520.json,custom
