# lat,lng,id,name,building_type,type,url,page_type
# bormio -- restaurants
46.457061,10.311278,ov_agriturismo_malga_san_colombano_46.4571_10.3113,Agriturismo Malga San Colombano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/agriturismo_malga_san_colombano_46.4571_10.3113.json,custom
46.463629,10.359733,ov_al_fiume_apres_bike_46.4636_10.3597,Al Fiume apres bike,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/al_fiume_apres_bike_46.4636_10.3597.json,custom
46.459427,10.358885,ov_bar_adalgisa_46.4594_10.3589,Bar Adalgisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_adalgisa_46.4594_10.3589.json,custom
46.463200,10.361006,ov_agriturismo_rini_di_bormio_46.4632_10.3610,Agriturismo Rini di Bormio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/agriturismo_rini_di_bormio_46.4632_10.3610.json,custom
46.462306,10.363253,ov_la_tigre_nera_46.4623_10.3633,La Tigre Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/la_tigre_nera_46.4623_10.3633.json,custom
46.461741,10.362327,ov_ristorante_pizzeria_la_stua_46.4617_10.3623,Ristorante Pizzeria La Stua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_pizzeria_la_stua_46.4617_10.3623.json,custom
46.460472,10.374640,ov_ristorante_pizzeria_eira_46.4605_10.3746,Ristorante Pizzeria Eira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_pizzeria_eira_46.4605_10.3746.json,custom
46.462377,10.372466,ov_besushi_bormio_46.4624_10.3725,BeSushi Bormio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/besushi_bormio_46.4624_10.3725.json,custom
46.463892,10.374544,ov_heaven_3000_46.4639_10.3745,Heaven 3000,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/heaven_3000_46.4639_10.3745.json,custom
46.468542,10.371512,ov_griglia___pedemontana_di_bormio_46.4685_10.3715,Griglia - Pedemontana di Bormio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/griglia_-_pedemontana_di_bormio_46.4685_10.3715.json,custom
46.467374,10.371241,ov_la_pasteria_46.4674_10.3712,La Pasteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/la_pasteria_46.4674_10.3712.json,custom
46.465532,10.372699,ov_ristorante_pizzeria_sunrise_46.4655_10.3727,Ristorante Pizzeria Sunrise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_pizzeria_sunrise_46.4655_10.3727.json,custom
46.465561,10.372487,ov_la_caneva_46.4656_10.3725,La Caneva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/la_caneva_46.4656_10.3725.json,custom
46.465591,10.373418,ov_la_stube_46.4656_10.3734,La Stube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/la_stube_46.4656_10.3734.json,custom
