# lat,lng,id,name,building_type,type,url,page_type
# san_daniele_del_friuli -- Tutti
46.154584,13.009461,ov_ospedale_di_sant_antonio_46.1546_13.0095,Ospedale di Sant'Antonio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ospedale_di_santantonio_46.1546_13.0095.json,custom
46.154807,13.008951,osm_pronto_soccorso_san_daniele_46.1548_13.0090,Pronto Soccorso San Daniele,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/pronto_soccorso_san_daniele_46.1548_13.0090.json,custom
46.165080,13.000710,ov_stasera_mi_butto_46.1651_13.0007,Stasera Mi Butto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/stasera_mi_butto_46.1651_13.0007.json,custom
46.164604,13.001324,ov_flame_n_co__46.1646_13.0013,Flame'n Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/flamen_co_46.1646_13.0013.json,custom
46.149929,12.964082,ov_l_a__104_46.1499_12.9641,L.A. 104,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/la_104_46.1499_12.9641.json,custom
46.129304,12.972049,ov_ristorante_agriturismo_forest_garden_46.1293_12.9720,Ristorante Agriturismo Forest Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ristorante_agriturismo_forest_garden_46.1293_12.9720.json,custom
46.136820,12.972348,ov_yokoso_san_daniele_ristorante_giapponese_46.1368_12.9723,Yokoso San Daniele Ristorante Giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/yokoso_san_daniele_ristorante_giapponese_46.1368_12.9723.json,custom
46.148906,12.965964,ov_trattoria_da_catine_46.1489_12.9660,Trattoria Da Catine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/trattoria_da_catine_46.1489_12.9660.json,custom
46.142505,12.977637,ov_le_cantine_di_secondo___degustazione_pic_46.1425_12.9776,Le Cantine di Secondo - Degustazione Picaron,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/le_cantine_di_secondo_-_degustazione_pic_46.1425_12.9776.json,custom
46.148880,12.987732,ov_principe_46.1489_12.9877,Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/principe_46.1489_12.9877.json,custom
46.150560,12.994389,ov_isola_della_pizza_46.1506_12.9944,Isola della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/isola_della_pizza_46.1506_12.9944.json,custom
46.151868,12.999067,ov_sushi_mizuki_46.1519_12.9991,Sushi Mizuki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/sushi_mizuki_46.1519_12.9991.json,custom
46.151709,12.999152,ov_al_barbacan_2_di_comparin_manuela___c__s_46.1517_12.9992,Al Barbacan 2 di Comparin Manuela & C. SAS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/al_barbacan_2_di_comparin_manuela_c_sas_46.1517_12.9992.json,custom
46.156547,12.999851,ov_ristorante_la_pergola_46.1565_12.9999,Ristorante La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ristorante_la_pergola_46.1565_12.9999.json,custom
46.127877,12.999869,ov_al_baccaro_46.1279_12.9999,Al Baccaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/al_baccaro_46.1279_12.9999.json,custom
46.161248,13.025462,ov_al_cappone_46.1612_13.0255,Al Cappone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/al_cappone_46.1612_13.0255.json,custom
46.157067,13.019768,ov_al_tirassegno_46.1571_13.0198,Al Tirassegno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/al_tirassegno_46.1571_13.0198.json,custom
46.158120,13.017173,ov_al_boschetto___san_daniele_46.1581_13.0172,Al Boschetto - San Daniele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/al_boschetto_-_san_daniele_46.1581_13.0172.json,custom
46.156352,13.016411,ov_al_dolcenero_46.1564_13.0164,Al Dolcenero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/al_dolcenero_46.1564_13.0164.json,custom
46.149788,13.015029,ov_ristobar_camarin_46.1498_13.0150,Ristobar Camarin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ristobar_camarin_46.1498_13.0150.json,custom
46.153335,13.009275,ov_ai_bintars_46.1533_13.0093,Ai Bintars,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ai_bintars_46.1533_13.0093.json,custom
46.153001,13.009078,ov_l_osteria_di_tisiot_a_san_daniele_del_fr_46.1530_13.0091,L'Osteria di Tisiot a San Daniele del Friuli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/losteria_di_tisiot_a_san_daniele_del_fri_46.1530_13.0091.json,custom
46.161316,13.011872,ov_ristorante_centopassi_46.1613_13.0119,Ristorante Centopassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ristorante_centopassi_46.1613_13.0119.json,custom
46.159911,13.011294,ov_bar_al_bersagliere_46.1599_13.0113,Bar Al Bersagliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/bar_al_bersagliere_46.1599_13.0113.json,custom
46.161042,13.010894,ov_l_osteria_di_tancredi_46.1610_13.0109,L'osteria Di Tancredi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/losteria_di_tancredi_46.1610_13.0109.json,custom
46.159834,13.010250,ov_ristorante_farroni_san_daniele_46.1598_13.0102,Ristorante Farroni San Daniele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/ristorante_farroni_san_daniele_46.1598_13.0102.json,custom
46.160183,13.009972,ov_pizzeria_la_bussola_46.1602_13.0100,Pizzeria La Bussola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/pizzeria_la_bussola_46.1602_13.0100.json,custom
46.159370,13.010161,ov_il_girone_della_pizza_46.1594_13.0102,Il Girone della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/il_girone_della_pizza_46.1594_13.0102.json,custom
46.158087,13.009979,ov_sempre_pronto_46.1581_13.0100,Sempre Pronto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/sempre_pronto_46.1581_13.0100.json,custom
46.157325,13.009527,ov_la_casa_del_prosciutto_alberti_46.1573_13.0095,La Casa del Prosciutto Alberti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_daniele_del_friuli/pages/la_casa_del_prosciutto_alberti_46.1573_13.0095.json,custom
