# lat,lng,id,name,building_type,type,url,page_type
# augusta -- restaurants.csv
37.334590,15.088310,ov_c___pizza_per_te_37.3346_15.0883,C'è pizza per te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/c_pizza_per_te_37.3346_15.0883.json,custom
37.310996,15.103723,ov_il_triangolo_ristorante___pizzeria_37.3110_15.1037,Il Triangolo Ristorante - Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/il_triangolo_ristorante_-_pizzeria_37.3110_15.1037.json,custom
37.320158,15.090701,ov_ch_teau_d_or_37.3202_15.0907,Château D'Or,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/chteau_dor_37.3202_15.0907.json,custom
37.309755,15.092246,ov_acquabianca_37.3098_15.0922,Acquabianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/acquabianca_37.3098_15.0922.json,custom
37.273401,15.080141,ov_agriturismo_le_terre_di_san_domenico_37.2734_15.0801,Agriturismo Le Terre Di San Domenico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/agriturismo_le_terre_di_san_domenico_37.2734_15.0801.json,custom
37.273955,15.053838,ov_trattoria_pizzeria_al_pepe_37.2740_15.0538,Trattoria Pizzeria Al Pepe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/trattoria_pizzeria_al_pepe_37.2740_15.0538.json,custom
37.280570,15.181330,ov_vita_brucoli_37.2806_15.1813,Vita Brucoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/vita_brucoli_37.2806_15.1813.json,custom
37.282758,15.177448,ov_pizzicottodanapoli_37.2828_15.1774,Pizzicottodanapoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzicottodanapoli_37.2828_15.1774.json,custom
37.287901,15.183111,ov_kaigan_sushi_bar_37.2879_15.1831,Kaigan Sushi Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/kaigan_sushi_bar_37.2879_15.1831.json,custom
37.286172,15.183506,ov_al_grano_37.2862_15.1835,Al Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/al_grano_37.2862_15.1835.json,custom
37.286001,15.183167,ov_donna_floriana_bistrot_37.2860_15.1832,Donna Floriana Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/donna_floriana_bistrot_37.2860_15.1832.json,custom
37.283863,15.181541,ov_case_mediterranee_37.2839_15.1815,Case Mediterranee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/case_mediterranee_37.2839_15.1815.json,custom
37.284850,15.186560,ov_trattoria_chiosco_di_vincenza_savaglia_37.2848_15.1866,TRATTORIA CHIOSCO di Vincenza Savaglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/trattoria_chiosco_di_vincenza_savaglia_37.2848_15.1866.json,custom
37.284944,15.187536,ov_al_castello_37.2849_15.1875,Al Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/al_castello_37.2849_15.1875.json,custom
37.283730,15.187947,ov_sisili_brucoli_37.2837_15.1879,Sisili Brucoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/sisili_brucoli_37.2837_15.1879.json,custom
37.283760,15.188144,ov_trattoria_i_rizzari_37.2838_15.1881,Trattoria I Rizzari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/trattoria_i_rizzari_37.2838_15.1881.json,custom
37.286205,15.184823,ov_scausu_grill_37.2862_15.1848,Scausu Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/scausu_grill_37.2862_15.1848.json,custom
37.283078,15.195029,ov_dame___al_pontile_37.2831_15.1950,Dame - Al pontile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/dame_-_al_pontile_37.2831_15.1950.json,custom
37.283422,15.188127,ov_forra_bonu_37.2834_15.1881,Forra Bonu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/forra_bonu_37.2834_15.1881.json,custom
37.283242,15.187304,ov_moplen_37.2832_15.1873,Moplen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/moplen_37.2832_15.1873.json,custom
