# lat,lng,id,name,building_type,type,url,page_type
# mandatoriccio -- restaurants.csv
39.541487,16.859582,ov_fuorionda_39.5415_16.8596,Fuorionda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/fuorionda_39.5415_16.8596.json,custom
39.543899,16.856234,ov_pizzeria_ristorante_playamandatoriccio_39.5439_16.8562,Pizzeria Ristorante Playamandatoriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/pizzeria_ristorante_playamandatoriccio_39.5439_16.8562.json,custom
39.539512,16.861247,ov_la_pineta_39.5395_16.8612,La Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_pineta_39.5395_16.8612.json,custom
39.536361,16.865439,ov_la_baracca_39.5364_16.8654,La Baracca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_baracca_39.5364_16.8654.json,custom
39.525925,16.888813,ov_ristorante_pizzeria_da_pasquale_39.5259_16.8888,Ristorante Pizzeria Da Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/ristorante_pizzeria_da_pasquale_39.5259_16.8888.json,custom
39.526255,16.896428,ov_lido_re_artu_39.5263_16.8964,Lido Re Artu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/lido_re_artu_39.5263_16.8964.json,custom
39.524500,16.893200,ov_la_riviera_ristorante_pizzeria_lido_39.5245_16.8932,La Riviera Ristorante Pizzeria Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_riviera_ristorante_pizzeria_lido_39.5245_16.8932.json,custom
39.530793,16.877739,ov_ristorante_pizzeria_l_orchidea_39.5308_16.8777,Ristorante Pizzeria L'Orchidea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/ristorante_pizzeria_lorchidea_39.5308_16.8777.json,custom
39.467220,16.838380,ov_sant_elia_agriturismo_39.4672_16.8384,Sant Elia Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/sant_elia_agriturismo_39.4672_16.8384.json,custom
39.467220,16.838430,ov_agriturismo_il_cappellano_39.4672_16.8384,Agriturismo il Cappellano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/agriturismo_il_cappellano_39.4672_16.8384.json,custom
39.467933,16.838679,ov_ristorante_pizzeria_belvedere_39.4679_16.8387,Ristorante Pizzeria Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/ristorante_pizzeria_belvedere_39.4679_16.8387.json,custom
39.465409,16.832193,ov_pizzeria_da_rino_39.4654_16.8322,Pizzeria Da Rino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/pizzeria_da_rino_39.4654_16.8322.json,custom
39.467060,16.833165,ov_ristorante_pizzeria_i_tre_corsari_39.4671_16.8332,Ristorante Pizzeria I Tre Corsari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/ristorante_pizzeria_i_tre_corsari_39.4671_16.8332.json,custom
39.466774,16.833322,ov_bar_del_cinema_39.4668_16.8333,Bar del cinema,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/bar_del_cinema_39.4668_16.8333.json,custom
39.468093,16.833349,ov_peccati_di_gola_39.4681_16.8333,Peccati Di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/peccati_di_gola_39.4681_16.8333.json,custom
39.452528,16.831546,ov_tenuta_il_gaglioppo_mandatoriccio_39.4525_16.8315,Tenuta Il Gaglioppo mandatoriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/tenuta_il_gaglioppo_mandatoriccio_39.4525_16.8315.json,custom
