# lat,lng,id,name,building_type,type,url,page_type
# montoro -- restaurants.csv
40.808409,14.757850,ov_al_chiar_di_luna_40.8084_14.7579,Al Chiar di Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/al_chiar_di_luna_40.8084_14.7579.json,custom
40.808794,14.759580,ov_tammorra_e_pizza_40.8088_14.7596,Tammorra e Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/tammorra_e_pizza_40.8088_14.7596.json,custom
40.823192,14.755584,ov_la_cantina_40.8232_14.7556,La Cantina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/la_cantina_40.8232_14.7556.json,custom
40.820838,14.760374,ov_pizzeria_niro_40.8208_14.7604,Pizzeria NiRo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/pizzeria_niro_40.8208_14.7604.json,custom
40.817920,14.758830,ov_pizzeria_da_massimino_40.8179_14.7588,Pizzeria da Massimino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/pizzeria_da_massimino_40.8179_14.7588.json,custom
40.820734,14.779644,ov_rendez_vous_40.8207_14.7796,Rendez Vous,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/rendez_vous_40.8207_14.7796.json,custom
40.824919,14.778642,ov_regina_elena_40.8249_14.7786,Regina Elena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/regina_elena_40.8249_14.7786.json,custom
40.823016,14.782357,ov_oste_e_il_porco_40.8230_14.7824,Oste e il Porco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/oste_e_il_porco_40.8230_14.7824.json,custom
40.823674,14.781535,ov_risto_pizza_fratelli_principato_40.8237_14.7815,Risto Pizza Fratelli Principato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/risto_pizza_fratelli_principato_40.8237_14.7815.json,custom
40.822552,14.781232,ov_carne_e_fuoco_braceria_ristorante_40.8226_14.7812,Carne e Fuoco Braceria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/carne_e_fuoco_braceria_ristorante_40.8226_14.7812.json,custom
40.821850,14.786058,ov_ran_40.8218_14.7861,Ran,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/ran_40.8218_14.7861.json,custom
40.821759,14.786141,ov_pizzeria_il_mattarello_san_pietro_40.8218_14.7861,Pizzeria il Mattarello San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/pizzeria_il_mattarello_san_pietro_40.8218_14.7861.json,custom
40.821920,14.786200,ov_carne_e_fuoco_rosticceria_pizzeria_d_asp_40.8219_14.7862,Carne e fuoco rosticceria pizzeria d'asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/carne_e_fuoco_rosticceria_pizzeria_daspo_40.8219_14.7862.json,custom
40.819995,14.785841,ov_addor__e_pizz_40.8200_14.7858,Addor 'e Pizz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/addor_e_pizz_40.8200_14.7858.json,custom
40.819390,14.787870,ov_villa_dei_fiori_40.8194_14.7879,Villa dei fiori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/villa_dei_fiori_40.8194_14.7879.json,custom
40.817636,14.796803,ov_ristorante__a_livella_40.8176_14.7968,Ristorante 'A Livella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/ristorante_a_livella_40.8176_14.7968.json,custom
40.815686,14.797670,ov_incontro_ristorante_montoro_40.8157_14.7977,Incontro Ristorante Montoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/incontro_ristorante_montoro_40.8157_14.7977.json,custom
40.815633,14.793373,ov_ristorante_pizzeria_all_arco_di_s_michel_40.8156_14.7934,Ristorante Pizzeria All'arco Di S.michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/ristorante_pizzeria_allarco_di_smichele_40.8156_14.7934.json,custom
40.815630,14.793430,ov_level_burger_40.8156_14.7934,Level Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/level_burger_40.8156_14.7934.json,custom
40.815648,14.783296,ov_a_casa_del_presidente_40.8156_14.7833,A Casa del Presidente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/a_casa_del_presidente_40.8156_14.7833.json,custom
40.803101,14.772185,ov_casa_federici_40.8031_14.7722,Casa Federici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/montoro/pages/casa_federici_40.8031_14.7722.json,custom
