# lat,lng,id,name,building_type,type,url,page_type
# brig-glis -- Tutti
46.317056,7.981868,osm_spitalzentrum_oberwallis__szo__brig_46.3171_7.9819,Spitalzentrum Oberwallis (SZO) Brig,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/spitalzentrum_oberwallis_szo_brig_46.3171_7.9819.json,custom
46.318655,7.988077,ov_restaurant_augenblick_46.3187_7.9881,Restaurant Augenblick,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/restaurant_augenblick_46.3187_7.9881.json,custom
46.316450,7.988619,ov_salathai_wyss_andr__46.3165_7.9886,Salathai Wyss André,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/salathai_wyss_andr_46.3165_7.9886.json,custom
46.319266,7.988562,ov_zenh_usern_fr_res_sa_46.3193_7.9886,Zenhäusern Frères SA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/zenhusern_frres_sa_46.3193_7.9886.json,custom
46.317628,7.988302,osm_walliser_weinstube_46.3176_7.9883,Walliser Weinstube,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/walliser_weinstube_46.3176_7.9883.json,custom
46.316188,7.989456,osm_angleterre_46.3162_7.9895,Angleterre,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/angleterre_46.3162_7.9895.json,custom
46.315418,7.990586,osm_schlosskeller_46.3154_7.9906,Schlosskeller,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/schlosskeller_46.3154_7.9906.json,custom
46.316936,7.987396,osm_channa_pizzeria_46.3169_7.9874,Channa Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/channa_pizzeria_46.3169_7.9874.json,custom
46.316682,7.988549,osm_zum_eidgenossen_46.3167_7.9885,Zum Eidgenossen,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/zum_eidgenossen_46.3167_7.9885.json,custom
46.315049,7.999287,ov_caf__restaurant_matteni_46.3150_7.9993,Café Restaurant Matteni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/caf_restaurant_matteni_46.3150_7.9993.json,custom
46.316376,7.987320,ov_restaurant_taferna_caf__bar_imhof_46.3164_7.9873,Restaurant Taferna CAFÉ-BAR Imhof,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/restaurant_taferna_caf-bar_imhof_46.3164_7.9873.json,custom
46.317950,7.987750,ov_lounge_vitetta_46.3180_7.9878,Lounge Vitetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/lounge_vitetta_46.3180_7.9878.json,custom
46.316273,7.988370,ov_artisti_ristorante_pizzeria_bar_caffe_46.3163_7.9884,Artisti Ristorante Pizzeria Bar Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/artisti_ristorante_pizzeria_bar_caffe_46.3163_7.9884.json,custom
46.316902,7.988376,ov_ganter_caf__bar_deli_46.3169_7.9884,Ganter Café Bar Deli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/ganter_caf_bar_deli_46.3169_7.9884.json,custom
46.316050,7.988560,ov_la_terrazza___home_of_pasta_46.3160_7.9886,La Terrazza - Home of Pasta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/la_terrazza_-_home_of_pasta_46.3160_7.9886.json,custom
46.317796,7.989608,ov_don_barista_46.3178_7.9896,Don Barista,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/don_barista_46.3178_7.9896.json,custom
46.319276,7.988667,osm_zenh_usern_46.3193_7.9887,Zenhäusern,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/zenhusern_46.3193_7.9887.json,custom
46.305444,7.959404,ov_star_kids_indoor_spielplatz_46.3054_7.9594,STAR KIDS INDOOR SPIELPLATZ,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/star_kids_indoor_spielplatz_46.3054_7.9594.json,custom
46.305977,7.952356,ov_fun_planet_46.3060_7.9524,Fun Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/fun_planet_46.3060_7.9524.json,custom
46.315298,7.990645,ov_bezirksgericht_brig_46.3153_7.9906,Bezirksgericht Brig,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/bezirksgericht_brig_46.3153_7.9906.json,custom
46.318495,7.988518,osm_filiale_brig_46.3185_7.9885,Filiale Brig,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/filiale_brig_46.3185_7.9885.json,custom
46.315310,7.991016,ov_ludothek_brig_46.3153_7.9910,Ludothek Brig,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/ludothek_brig_46.3153_7.9910.json,custom
46.315190,7.982340,ov_university_center_cesar_ritz_46.3152_7.9823,University Center Cesar Ritz,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/university_center_cesar_ritz_46.3152_7.9823.json,custom
46.317339,7.981585,ov_spitalzentrum_oberwallis_46.3173_7.9816,Spitalzentrum Oberwallis,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/spitalzentrum_oberwallis_46.3173_7.9816.json,custom
46.316298,7.985453,ov_spitalzentrum_oberwallis_brig_notfall_46.3163_7.9855,Spitalzentrum Oberwallis Brig-Notfall,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/spitalzentrum_oberwallis_brig-notfall_46.3163_7.9855.json,custom
46.314940,7.985590,ov_xundia_gmbh_46.3149_7.9856,XunDia GmbH,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/xundia_gmbh_46.3149_7.9856.json,custom
46.319340,7.990980,ov_gianni_genussatelier_46.3193_7.9910,Gianni Genussatelier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/gianni_genussatelier_46.3193_7.9910.json,custom
46.317871,7.990479,ov_restaurant_brigerhof_sukhothai_46.3179_7.9905,Restaurant Brigerhof Sukhothai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/restaurant_brigerhof_sukhothai_46.3179_7.9905.json,custom
46.315915,7.990235,ov_de_la_place_46.3159_7.9902,De la Place,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/de_la_place_46.3159_7.9902.json,custom
46.315626,7.990304,ov_schlosskeller_46.3156_7.9903,Schlosskeller,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/schlosskeller_46.3156_7.9903.json,custom
46.306204,7.961285,ov_mcdonald_s_46.3062_7.9613,McDonald’s,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/mcdonalds_46.3062_7.9613.json,custom
46.304760,7.952440,ov_restaurant_zunftstube_eventlokal_46.3048_7.9524,Restaurant Zunftstube Eventlokal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/brig-glis/pages/restaurant_zunftstube_eventlokal_46.3048_7.9524.json,custom
