# lat,lng,id,name,building_type,type,url,page_type
# montelupo_fiorentino -- restaurants.csv
43.697653,11.049423,ov_lo_spigo_43.6977_11.0494,Lo Spigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/lo_spigo_43.6977_11.0494.json,custom
43.696617,11.049966,ov_la_lanterna_di_pulica_43.6966_11.0500,La Lanterna di Pulica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/la_lanterna_di_pulica_43.6966_11.0500.json,custom
43.765428,11.042718,ov_chiosco_di_camaioni_43.7654_11.0427,Chiosco di Camaioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/chiosco_di_camaioni_43.7654_11.0427.json,custom
43.751187,11.014916,ov_osteria_cantagallo_43.7512_11.0149,Osteria Cantagallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/osteria_cantagallo_43.7512_11.0149.json,custom
43.752569,11.044520,ov_tenuta_san_vito_43.7526_11.0445,Tenuta San Vito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/tenuta_san_vito_43.7526_11.0445.json,custom
43.732023,10.993531,ov_bar_pizzeria_pegaso_circolo_fibbiana_43.7320_10.9935,Bar Pizzeria Pegaso Circolo Fibbiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/bar_pizzeria_pegaso_circolo_fibbiana_43.7320_10.9935.json,custom
43.732030,10.993564,ov_circolo_arci_fibbiana_43.7320_10.9936,Circolo Arci Fibbiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/circolo_arci_fibbiana_43.7320_10.9936.json,custom
43.731491,10.994027,ov_pizzeria_ristorante_il_coriandolo_43.7315_10.9940,Pizzeria Ristorante Il Coriandolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/pizzeria_ristorante_il_coriandolo_43.7315_10.9940.json,custom
43.727778,11.002232,ov_mami_3_caff____bistrot_43.7278_11.0022,Mami 3 caffè & bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/mami_3_caff_bistrot_43.7278_11.0022.json,custom
43.727843,11.002073,ov_napul___montelupo_fiorentino_43.7278_11.0021,Napul’è Montelupo Fiorentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/montelupo_fiorentino/pages/napul_montelupo_fiorentino_43.7278_11.0021.json,custom
