# lat,lng,id,name,building_type,type,url,page_type
# diamante -- restaurants
39.715510,15.809473,ov_oin__pizzeria_39.7155_15.8095,Oinè Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/oin_pizzeria_39.7155_15.8095.json,custom
39.713543,15.808969,ov_lido_unico_beach_39.7135_15.8090,Lido Unico Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/lido_unico_beach_39.7135_15.8090.json,custom
39.716013,15.807054,ov_tartana_club_39.7160_15.8071,Tartana Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/tartana_club_39.7160_15.8071.json,custom
39.712186,15.807744,ov_ristorante_da_lucio_cirella_39.7122_15.8077,Ristorante da lucio cirella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_da_lucio_cirella_39.7122_15.8077.json,custom
39.712545,15.809046,ov_il_rusticano_39.7125_15.8090,Il Rusticano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/il_rusticano_39.7125_15.8090.json,custom
39.712506,15.809058,ov_pizza_king_39.7125_15.8091,Pizza King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizza_king_39.7125_15.8091.json,custom
39.713203,15.811268,ov_a_cantinella_39.7132_15.8113,A Cantinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/a_cantinella_39.7132_15.8113.json,custom
39.713892,15.810477,ov_paninoteca_friggitoria_san_francesco_39.7139_15.8105,Paninoteca friggitoria San Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/paninoteca_friggitoria_san_francesco_39.7139_15.8105.json,custom
39.720776,15.810691,ov_jindai_39.7208_15.8107,Jindai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/jindai_39.7208_15.8107.json,custom
39.720977,15.810676,ov_l_altrolato_beach_39.7210_15.8107,L'AltroLato Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/laltrolato_beach_39.7210_15.8107.json,custom
39.713500,15.821680,ov_aquarama___beach__restaurant__lounge_bar_39.7135_15.8217,"Aquarama - Beach, Restaurant, Lounge bar",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/aquarama_-_beach_restaurant_lounge_bar_39.7135_15.8217.json,custom
