# lat,lng,id,name,building_type,type,url,page_type
# olevano_sul_tusciano -- restaurants
40.646043,15.009013,ov_il_mosaico_country_house_40.6460_15.0090,Il Mosaico Country House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/il_mosaico_country_house_40.6460_15.0090.json,custom
40.659310,15.018310,ov_il_lago_ristorante_bar_40.6593_15.0183,Il Lago Ristorante-Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/il_lago_ristorante-bar_40.6593_15.0183.json,custom
40.649146,15.018302,ov_tusc__40.6491_15.0183,Tuscè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/tusc_40.6491_15.0183.json,custom
40.651097,15.017589,ov_pais__40.6511_15.0176,Paisà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/pais_40.6511_15.0176.json,custom
40.649402,15.021586,ov_pizzeria_stuzzicando___da_ines_40.6494_15.0216,Pizzeria Stuzzicando - Da Ines,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/pizzeria_stuzzicando_-_da_ines_40.6494_15.0216.json,custom
40.657287,15.022084,ov_pupa_e_pizze_pizzeria_40.6573_15.0221,Pupa e Pizze Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/pupa_e_pizze_pizzeria_40.6573_15.0221.json,custom
40.655340,15.022618,ov_l_ammiraglia_40.6553_15.0226,L'Ammiraglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/lammiraglia_40.6553_15.0226.json,custom
40.655160,15.023250,ov_il_lago___risto_pub_e_pizzeria_40.6552_15.0233,Il Lago - Risto-Pub e Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/il_lago_-_risto-pub_e_pizzeria_40.6552_15.0233.json,custom
40.650819,15.022605,ov_il_trappeto_40.6508_15.0226,Il Trappeto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/il_trappeto_40.6508_15.0226.json,custom
40.676859,15.024487,ov_pizza_e_sfizi_40.6769_15.0245,Pizza E Sfizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/olevano_sul_tusciano/pages/pizza_e_sfizi_40.6769_15.0245.json,custom
