# lat,lng,id,name,building_type,type,url,page_type
# Sant'Ippolito -- Tutti
43.704602,12.872314,ov_cascina_delle_rose_43.7046_12.8723,Cascina delle Rose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/cascina_delle_rose_43.7046_12.8723.json,custom
43.701180,12.878088,ov_samsara_agriturismo_43.7012_12.8781,Samsara Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/samsara_agriturismo_43.7012_12.8781.json,custom
43.699720,12.867560,ov_gb_group___the_art_of_bathroom_43.6997_12.8676,GB Group - the art of bathroom,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/gb_group_-_the_art_of_bathroom_43.6997_12.8676.json,custom
43.687415,12.863773,ov_la_ritrovata_specialita_carne_43.6874_12.8638,La Ritrovata Specialita Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/la_ritrovata_specialita_carne_43.6874_12.8638.json,custom
43.665874,12.875091,ov_casa_londei_43.6659_12.8751,Casa Londei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/casa_londei_43.6659_12.8751.json,custom
43.668113,12.870982,ov_pizzeria_ristorante_la_piadina_43.6681_12.8710,Pizzeria Ristorante La Piadina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/pizzeria_ristorante_la_piadina_43.6681_12.8710.json,custom
43.716939,12.886487,osm_palazzina_sabatelli_43.7169_12.8865,Palazzina Sabatelli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/palazzina_sabatelli_43.7169_12.8865.json,custom
43.687320,12.863895,osm_la_ritrovata_43.6873_12.8639,La Ritrovata,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/la_ritrovata_43.6873_12.8639.json,custom
43.701397,12.871496,osm_isorist__43.7014_12.8715,IsoRistò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/isorist_43.7014_12.8715.json,custom
43.668057,12.870832,osm_la_piadina_43.6681_12.8708,La Piadina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/la_piadina_43.6681_12.8708.json,custom
43.700504,12.868048,ov_bar_centrale_43.7005_12.8680,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/bar_centrale_43.7005_12.8680.json,custom
43.671778,12.893801,ov_bar_silvio_43.6718_12.8938,Bar Silvio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/bar_silvio_43.6718_12.8938.json,custom
43.685159,12.871225,osm_only_snack_bar_43.6852_12.8712,Only Snack Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/only_snack_bar_43.6852_12.8712.json,custom
43.700495,12.868026,osm_bar_centrale_43.7005_12.8680,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/bar_centrale_43.7005_12.8680.json,custom
43.684687,12.871107,ov_corsa_podistica_stracastelli_43.6847_12.8711,Corsa podistica stracastelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santippolito/pages/corsa_podistica_stracastelli_43.6847_12.8711.json,custom
