# lat,lng,id,name,building_type,type,url,page_type
# sellia_marina -- restaurants.csv
38.976549,16.631283,ov_paquito_38.9765_16.6313,Paquito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/paquito_38.9765_16.6313.json,custom
38.898514,16.782583,ov_caf__del_mar_38.8985_16.7826,Café del Mar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/caf_del_mar_38.8985_16.7826.json,custom
38.902483,16.780981,ov_il_sarago_38.9025_16.7810,Il Sarago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/il_sarago_38.9025_16.7810.json,custom
38.893008,16.768306,ov_pineta_mapapi_38.8930_16.7683,Pineta Mapapi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/pineta_mapapi_38.8930_16.7683.json,custom
38.890933,16.763964,ov_babylon_restaurant_38.8909_16.7640,Babylon Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/babylon_restaurant_38.8909_16.7640.json,custom
38.901308,16.747321,ov_officina_della_pizza_38.9013_16.7473,Officina della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/officina_della_pizza_38.9013_16.7473.json,custom
38.898785,16.744221,ov_g_caf__38.8988_16.7442,G.Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/gcaf_38.8988_16.7442.json,custom
38.903937,16.743569,ov_le_tre_sorelle_pizzeria_38.9039_16.7436,Le Tre Sorelle Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/le_tre_sorelle_pizzeria_38.9039_16.7436.json,custom
38.906173,16.744128,ov_duepuntozero_38.9062_16.7441,Duepuntozero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/duepuntozero_38.9062_16.7441.json,custom
38.898422,16.739753,ov_il_punto_38.8984_16.7398,Il Punto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/il_punto_38.8984_16.7398.json,custom
38.898330,16.739850,ov_wanderlust_botricello_38.8983_16.7399,Wanderlust.botricello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/wanderlustbotricello_38.8983_16.7399.json,custom
38.898297,16.741622,ov_ristorante_prato_verde_38.8983_16.7416,Ristorante Prato Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/ristorante_prato_verde_38.8983_16.7416.json,custom
