# lat,lng,id,name,building_type,type,url,page_type
# santhi -- restaurants.csv
45.383412,8.138671,ov_ristorante_pizzeria_piccadilly_45.3834_8.1387,Ristorante Pizzeria Piccadilly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/ristorante_pizzeria_piccadilly_45.3834_8.1387.json,custom
45.365915,8.180344,ov_il_vecchio_ritrovo_palazzolo_vercellese_45.3659_8.1803,Il Vecchio Ritrovo Palazzolo Vercellese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/il_vecchio_ritrovo_palazzolo_vercellese_45.3659_8.1803.json,custom
45.365639,8.176410,ov_ristorante_birreria_bavarese_oktoberstub_45.3656_8.1764,Ristorante-birreria Bavarese Oktoberstube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/ristorante-birreria_bavarese_oktoberstub_45.3656_8.1764.json,custom
45.365568,8.176843,ov_l_acquario_ristorante_pizzeria_45.3656_8.1768,L'Acquario Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/lacquario_ristorante_pizzeria_45.3656_8.1768.json,custom
45.366561,8.172891,ov_pizburger_45.3666_8.1729,Pizburger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/pizburger_45.3666_8.1729.json,custom
45.367499,8.171948,ov_ristorante_pasqua___tradizione_di_famigl_45.3675_8.1719,Ristorante Pasqua - tradizione di famiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/ristorante_pasqua_-_tradizione_di_famigl_45.3675_8.1719.json,custom
45.367588,8.168130,ov_istanbul_kebab_45.3676_8.1681,Istanbul Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/istanbul_kebab_45.3676_8.1681.json,custom
45.367846,8.173224,ov_la_vecchia_taverna_di_pia_debora___c__sn_45.3678_8.1732,La Vecchia Taverna Di Pia Debora & C. Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/la_vecchia_taverna_di_pia_debora_c_snc_45.3678_8.1732.json,custom
45.370596,8.178505,ov_agriturismo_cascina_biancella_45.3706_8.1785,Agriturismo Cascina Biancella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/agriturismo_cascina_biancella_45.3706_8.1785.json,custom
45.372083,8.170992,ov_ristorante_gabriella_45.3721_8.1710,Ristorante Gabriella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/ristorante_gabriella_45.3721_8.1710.json,custom
45.372754,8.166823,ov_al_grill_45.3728_8.1668,Al Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/al_grill_45.3728_8.1668.json,custom
45.373944,8.164627,ov_ristorante_san_massimo_45.3739_8.1646,Ristorante San Massimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/ristorante_san_massimo_45.3739_8.1646.json,custom
45.374699,8.201680,ov_il_nespolo_agriturismo_45.3747_8.2017,Il Nespolo Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/il_nespolo_agriturismo_45.3747_8.2017.json,custom
45.365523,8.176918,osm_l_acquario_45.3655_8.1769,L'acquario,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/lacquario_45.3655_8.1769.json,custom
45.366540,8.173015,osm_mr__pizburger_45.3665_8.1730,Mr. Pizburger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/mr_pizburger_45.3665_8.1730.json,custom
45.367589,8.168191,osm_istanbul_pizza___kebap_45.3676_8.1682,Istanbul Pizza & Kebap,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/istanbul_pizza_kebap_45.3676_8.1682.json,custom
45.365193,8.177791,osm_pizza_top_2_45.3652_8.1778,Pizza Top 2,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/pizza_top_2_45.3652_8.1778.json,custom
