# lat,lng,id,name,building_type,type,url,page_type
# piano_di_sorrento -- restaurants.csv
40.634237,14.415291,ov_make_sushi_and_more_40.6342_14.4153,Make Sushi and More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/make_sushi_and_more_40.6342_14.4153.json,custom
40.634446,14.415084,ov_icis_sorrento_srl_40.6344_14.4151,Icis Sorrento Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/icis_sorrento_srl_40.6344_14.4151.json,custom
40.633156,14.413073,ov_la_cucina_mareblu_40.6332_14.4131,La cucina MareBlu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/la_cucina_mareblu_40.6332_14.4131.json,custom
40.634467,14.412680,ov_la_rustica_40.6345_14.4127,La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/la_rustica_40.6345_14.4127.json,custom
40.633357,14.411569,ov_la_farinella_40.6334_14.4116,La Farinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/la_farinella_40.6334_14.4116.json,custom
40.634730,14.410274,ov_pizzeria_ristobar_all_angolo_40.6347_14.4103,Pizzeria Ristobar all'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/pizzeria_ristobar_allangolo_40.6347_14.4103.json,custom
40.640577,14.406827,ov_ristobar_pizzeria__all_angolo_40.6406_14.4068,RistoBar Pizzeria  All'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/ristobar_pizzeria_allangolo_40.6406_14.4068.json,custom
40.640580,14.406710,ov_soleluna_bar_ristopub_40.6406_14.4067,SoleLuna Bar-RistoPub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/soleluna_bar-ristopub_40.6406_14.4067.json,custom
40.637501,14.407910,ov_a_casa_tua_40.6375_14.4079,A casa tua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/a_casa_tua_40.6375_14.4079.json,custom
40.635262,14.407506,ov_daddy_s_burger_40.6353_14.4075,Daddy's Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/daddys_burger_40.6353_14.4075.json,custom
40.633671,14.407305,ov_mamma_mia_40.6337_14.4073,Mamma Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/piano_di_sorrento/pages/mamma_mia_40.6337_14.4073.json,custom
