# lat,lng,id,name,building_type,type,url,page_type
# montalto_uffugo -- restaurants
39.396646,16.197880,ov_tenuta_caminata_39.3966_16.1979,Tenuta Caminata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/tenuta_caminata_39.3966_16.1979.json,custom
39.398865,16.172935,ov_agriturismo_ebano_39.3989_16.1729,Agriturismo Ebano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/agriturismo_ebano_39.3989_16.1729.json,custom
39.393214,16.176472,ov_parco_de_angelis_39.3932_16.1765,Parco De Angelis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/parco_de_angelis_39.3932_16.1765.json,custom
39.393126,16.177308,ov_il_duca_pizzeriaristorante_39.3931_16.1773,IL DUCA Pizzeriaristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/il_duca_pizzeriaristorante_39.3931_16.1773.json,custom
39.405190,16.178170,ov_la_capannina_montalto_uffugo_39.4052_16.1782,La Capannina Montalto Uffugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/la_capannina_montalto_uffugo_39.4052_16.1782.json,custom
39.405260,16.157195,ov_il_regno_di_pulcinella_39.4053_16.1572,Il Regno di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/il_regno_di_pulcinella_39.4053_16.1572.json,custom
39.405328,16.158029,ov_pizzeria_bar_italia_39.4053_16.1580,Pizzeria Bar Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/pizzeria_bar_italia_39.4053_16.1580.json,custom
39.406541,16.157477,ov_dolci_fantasie_di_raffaele_victor_39.4065_16.1575,Dolci Fantasie di Raffaele Victor,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/dolci_fantasie_di_raffaele_victor_39.4065_16.1575.json,custom
39.402775,16.155272,ov_la_bettola_39.4028_16.1553,La Bettola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/la_bettola_39.4028_16.1553.json,custom
39.398732,16.163553,ov_enzo_la_capannina_39.3987_16.1636,Enzo La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/enzo_la_capannina_39.3987_16.1636.json,custom
39.418155,16.157357,ov_ristorante_sala_ricevimenti_le_macine_39.4182_16.1574,Ristorante Sala Ricevimenti Le Macine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ristorante_sala_ricevimenti_le_macine_39.4182_16.1574.json,custom
39.374009,16.128795,ov_il_ritrovo_della_montagna_39.3740_16.1288,Il Ritrovo della Montagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/il_ritrovo_della_montagna_39.3740_16.1288.json,custom
39.231498,16.264395,ov_fish___wine_by_fish_in_world_39.2315_16.2644,Fish & Wine by Fish in world,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/fish_wine_by_fish_in_world_39.2315_16.2644.json,custom
39.379043,16.213925,ov_orgoglio_di_calabria___ristorante_pizzer_39.3790_16.2139,Orgoglio di Calabria - Ristorante Pizzeria Sala ricevimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/orgoglio_di_calabria_-_ristorante_pizzer_39.3790_16.2139.json,custom
