# lat,lng,id,name,building_type,type,url,page_type
# cuggiono -- restaurants
45.496920,8.793399,ov_la_pirogue_45.4969_8.7934,La Pirogue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/la_pirogue_45.4969_8.7934.json,custom
45.499247,8.793756,ov_osteria_alta_45.4992_8.7938,Osteria Alta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/osteria_alta_45.4992_8.7938.json,custom
45.507913,8.811381,ov_new_buffalo_45.5079_8.8114,New Buffalo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/new_buffalo_45.5079_8.8114.json,custom
45.505633,8.782826,ov_agriturismo_la_galizia_45.5056_8.7828,Agriturismo la galizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/agriturismo_la_galizia_45.5056_8.7828.json,custom
45.505678,8.822558,ov_la_terrazza_da_gaetano_45.5057_8.8226,La Terrazza da Gaetano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/la_terrazza_da_gaetano_45.5057_8.8226.json,custom
45.505507,8.818842,ov_pizzeria_la_regina_45.5055_8.8188,Pizzeria La Regina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/pizzeria_la_regina_45.5055_8.8188.json,custom
45.505479,8.818275,ov_istanbul_cuggiono_pizza_kebap_45.5055_8.8183,Istanbul Cuggiono PIZZA KEBAP,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/istanbul_cuggiono_pizza_kebap_45.5055_8.8183.json,custom
45.506302,8.814971,ov_beard_bq_low___slow_45.5063_8.8150,Beard BQ Low & Slow,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/beard_bq_low_slow_45.5063_8.8150.json,custom
45.506500,8.815140,ov_pizzeria___san_martino_2_cuggiono_45.5065_8.8151,Pizzeria / San Martino 2 Cuggiono,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/pizzeria_san_martino_2_cuggiono_45.5065_8.8151.json,custom
45.507369,8.815425,ov_pizzeria_da_mimmo_45.5074_8.8154,Pizzeria Da Mimmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/pizzeria_da_mimmo_45.5074_8.8154.json,custom
45.507577,8.816764,ov_bar_trattoria_cavour_45.5076_8.8168,Bar Trattoria Cavour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/bar_trattoria_cavour_45.5076_8.8168.json,custom
45.509479,8.813130,ov_tre_scalini_45.5095_8.8131,Tre Scalini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/tre_scalini_45.5095_8.8131.json,custom
45.510361,8.812516,ov_al_peperoncino_pizzeria_and_streetfood_45.5104_8.8125,Al Peperoncino Pizzeria and Streetfood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/al_peperoncino_pizzeria_and_streetfood_45.5104_8.8125.json,custom
45.494196,8.792831,ov_ristorante_agriturismo_funtanin_45.4942_8.7928,Ristorante Agriturismo Funtanin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/ristorante_agriturismo_funtanin_45.4942_8.7928.json,custom
45.494136,8.792432,ov_osteria_del_ponte_45.4941_8.7924,Osteria del Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/osteria_del_ponte_45.4941_8.7924.json,custom
45.493418,8.790065,ov_ristorante_ticino_blu_45.4934_8.7901,Ristorante Ticino Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/ristorante_ticino_blu_45.4934_8.7901.json,custom
45.492551,8.781062,ov_ticino_blu_45.4926_8.7811,Ticino Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/ticino_blu_45.4926_8.7811.json,custom
45.495848,8.772664,ov_ristorante_da_bruno_45.4958_8.7727,Ristorante Da Bruno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/ristorante_da_bruno_45.4958_8.7727.json,custom
45.488949,8.787009,ov_ristorante_dai_gemelli_salis_45.4889_8.7870,Ristorante dai Gemelli Salis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/ristorante_dai_gemelli_salis_45.4889_8.7870.json,custom
45.510841,8.818114,ov_ipanema_ristorante_pizzeria_45.5108_8.8181,Ipanema Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cuggiono/pages/ipanema_ristorante_pizzeria_45.5108_8.8181.json,custom
