# lat,lng,id,name,building_type,type,url,page_type
# marghera -- restaurants
45.412296,12.159971,ov_burger_king_45.4123_12.1600,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/burger_king_45.4123_12.1600.json,custom
45.457836,12.213000,ov_old_wild_west___marghera_nave_de_vero_45.4578_12.2130,Old Wild West - Marghera Nave de Vero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/old_wild_west_-_marghera_nave_de_vero_45.4578_12.2130.json,custom
45.457940,12.212863,ov_befed_marghera_45.4579_12.2129,BEFED Marghera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/befed_marghera_45.4579_12.2129.json,custom
45.461020,12.208750,ov_burger_king___marghera_45.4610_12.2087,Burger King - Marghera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/burger_king_-_marghera_45.4610_12.2087.json,custom
45.471394,12.212398,ov_ciao_bella_45.4714_12.2124,Ciao Bella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/ciao_bella_45.4714_12.2124.json,custom
45.475788,12.211828,ov_m_restaurant_45.4758_12.2118,M Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/m_restaurant_45.4758_12.2118.json,custom
45.478098,12.227037,ov_pizzeria_capri_45.4781_12.2270,Pizzeria Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/pizzeria_capri_45.4781_12.2270.json,custom
45.472900,12.252917,osm_ristorazione_45.4729_12.2529,Ristorazione,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/ristorazione_45.4729_12.2529.json,custom
45.478104,12.236217,osm_la_fonderia_45.4781_12.2362,La Fonderia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/la_fonderia_45.4781_12.2362.json,custom
45.475974,12.234981,osm_gustoclick_45.4760_12.2350,Gustoclick,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/gustoclick_45.4760_12.2350.json,custom
45.477690,12.223184,osm_al_diplomatico_45.4777_12.2232,Al diplomatico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/al_diplomatico_45.4777_12.2232.json,custom
45.476170,12.201263,osm_trattoria_panda_45.4762_12.2013,Trattoria Panda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/trattoria_panda_45.4762_12.2013.json,custom
45.474660,12.224895,osm_sal8_45.4747_12.2249,Sal8,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/sal8_45.4747_12.2249.json,custom
45.455954,12.186255,osm_ristorante_pizzeria_ca__sabbioni_45.4560_12.1863,Ristorante/Pizzeria Ca' Sabbioni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/ristorantepizzeria_ca_sabbioni_45.4560_12.1863.json,custom
45.461835,12.242150,osm_the_80_s_45.4618_12.2421,The 80's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/the_80s_45.4618_12.2421.json,custom
45.477919,12.235732,osm_molo_di_venezia_45.4779_12.2357,Molo di Venezia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/molo_di_venezia_45.4779_12.2357.json,custom
45.475020,12.223896,osm_rosticceria_fratelli_bottazzo_45.4750_12.2239,Rosticceria Fratelli Bottazzo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/rosticceria_fratelli_bottazzo_45.4750_12.2239.json,custom
45.473331,12.222675,osm_concordia_45.4733_12.2227,Concordia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/concordia_45.4733_12.2227.json,custom
45.458157,12.213021,osm_poke_house_45.4582_12.2130,Poke House,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/poke_house_45.4582_12.2130.json,custom
45.458076,12.212495,osm_wiener_haus_45.4581_12.2125,Wiener Haus,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/wiener_haus_45.4581_12.2125.json,custom
45.458284,12.212516,osm_calavera_45.4583_12.2125,Calavera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/calavera_45.4583_12.2125.json,custom
45.480601,12.223941,osm_saray_grill_45.4806_12.2239,Saray Grill,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/marghera/pages/saray_grill_45.4806_12.2239.json,custom
