# lat,lng,id,name,building_type,type,url,page_type
# montecosaro -- restaurants.csv
43.316657,13.636997,ov_il_san_lorenzo_osteria_43.3167_13.6370,Il San Lorenzo Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/il_san_lorenzo_osteria_43.3167_13.6370.json,custom
43.316658,13.635746,ov_bar_mario___pizzeria_43.3167_13.6357,Bar Mario - Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/bar_mario_-_pizzeria_43.3167_13.6357.json,custom
43.316958,13.634986,ov_eventi_signore_te_ne_ringrazi_43.3170_13.6350,Eventi Signore Te Ne Ringrazi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/eventi_signore_te_ne_ringrazi_43.3170_13.6350.json,custom
43.317807,13.634096,ov_il_cassero_43.3178_13.6341,Il Cassero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/il_cassero_43.3178_13.6341.json,custom
43.322430,13.630530,ov_il_mulino_43.3224_13.6305,Il Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/il_mulino_43.3224_13.6305.json,custom
43.291896,13.645744,ov_new_bar_pizzeria_bistrot_delle_fate_43.2919_13.6457,New Bar Pizzeria Bistrot delle fate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/new_bar_pizzeria_bistrot_delle_fate_43.2919_13.6457.json,custom
43.287276,13.648486,ov_ristorante_olivo_43.2873_13.6485,Ristorante Olivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/ristorante_olivo_43.2873_13.6485.json,custom
43.286663,13.649717,ov_arcadia_bar_ristorante_43.2867_13.6497,Arcadia Bar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/arcadia_bar_ristorante_43.2867_13.6497.json,custom
43.286034,13.650345,ov_un_punto_macrobiotico_43.2860_13.6503,Un punto macrobiotico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/un_punto_macrobiotico_43.2860_13.6503.json,custom
43.286903,13.648285,ov_il_segreto_di_pulcinella_43.2869_13.6483,Il Segreto di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/il_segreto_di_pulcinella_43.2869_13.6483.json,custom
43.286963,13.648415,ov_norcineria_monti_azzurri_43.2870_13.6484,Norcineria Monti Azzurri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/norcineria_monti_azzurri_43.2870_13.6484.json,custom
43.281790,13.652665,ov_twins_43.2818_13.6527,Twins,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/twins_43.2818_13.6527.json,custom
43.280343,13.652670,ov_ristorante_enoteca_casale_del_chienti_43.2803_13.6527,Ristorante Enoteca Casale del Chienti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/ristorante_enoteca_casale_del_chienti_43.2803_13.6527.json,custom
43.286056,13.645909,ov_bottega_della_pizza_43.2861_13.6459,Bottega Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/bottega_della_pizza_43.2861_13.6459.json,custom
43.285122,13.643830,ov_tweety_pizza_montecosaro_43.2851_13.6438,Tweety Pizza Montecosaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/tweety_pizza_montecosaro_43.2851_13.6438.json,custom
43.281993,13.640143,ov_due_cigni_il_ristorante_43.2820_13.6401,Due Cigni Il Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/due_cigni_il_ristorante_43.2820_13.6401.json,custom
43.281783,13.637811,ov_baby_gusto_43.2818_13.6378,Baby Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/baby_gusto_43.2818_13.6378.json,custom
43.271842,13.631420,ov_taverna_la_formica_43.2718_13.6314,Taverna La Formica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/taverna_la_formica_43.2718_13.6314.json,custom
43.307266,13.728486,ov_mr_chicken_43.3073_13.7285,Mr chicken,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/mr_chicken_43.3073_13.7285.json,custom
43.316859,13.634901,osm_ristorante_enoteca_la_luma_43.3169_13.6349,Ristorante Enoteca La Luma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/ristorante_enoteca_la_luma_43.3169_13.6349.json,custom
43.298180,13.615883,osm_agriturismo_i_porfiri_43.2982_13.6159,Agriturismo i Porfiri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/agriturismo_i_porfiri_43.2982_13.6159.json,custom
43.316691,13.636902,osm_il_san_lorenzo_43.3167_13.6369,Il San Lorenzo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/il_san_lorenzo_43.3167_13.6369.json,custom
