# lat,lng,id,name,building_type,type,url,page_type
# zogno -- restaurants
45.789023,9.637454,ov_il_nuovo_sogno_45.7890_9.6375,Il Nuovo Sogno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/il_nuovo_sogno_45.7890_9.6375.json,custom
45.792449,9.651372,ov_idea_pizza_45.7924_9.6514,Idea Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/idea_pizza_45.7924_9.6514.json,custom
45.792260,9.662130,ov_wow_pizza_45.7923_9.6621,WOW PIZZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/wow_pizza_45.7923_9.6621.json,custom
45.793382,9.661048,ov_ristorante_tavernetta_45.7934_9.6610,Ristorante Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/ristorante_tavernetta_45.7934_9.6610.json,custom
45.792170,9.659070,ov_centro_sportivo_p__polli_45.7922_9.6591,Centro Sportivo P. Polli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/centro_sportivo_p_polli_45.7922_9.6591.json,custom
45.793166,9.656458,ov_trattoria_del_maglio_45.7932_9.6565,Trattoria del Maglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/trattoria_del_maglio_45.7932_9.6565.json,custom
45.790945,9.668940,ov_numerodue_45.7909_9.6689,NumeroDue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/numerodue_45.7909_9.6689.json,custom
45.794499,9.672552,ov_antica_trattoria_breve_respiro_45.7945_9.6726,Antica Trattoria Breve Respiro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/antica_trattoria_breve_respiro_45.7945_9.6726.json,custom
45.796645,9.667775,ov_ristorante_la_staletta_45.7966_9.6678,Ristorante la Staletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/ristorante_la_staletta_45.7966_9.6678.json,custom
45.792813,9.667960,ov_pizza_dina_45.7928_9.6680,Pizza Dina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/pizza_dina_45.7928_9.6680.json,custom
45.792660,9.664772,ov_pizzeria_primo_mulino_45.7927_9.6648,Pizzeria Primo Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/pizzeria_primo_mulino_45.7927_9.6648.json,custom
45.798688,9.672723,ov_pizzeria_millenium_45.7987_9.6727,Pizzeria Millenium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/pizzeria_millenium_45.7987_9.6727.json,custom
45.807067,9.678444,ov_da_tranquillo_45.8071_9.6784,Da Tranquillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/da_tranquillo_45.8071_9.6784.json,custom
45.808266,9.681733,ov_lask_ta_45.8083_9.6817,Laskòta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/laskta_45.8083_9.6817.json,custom
