# lat,lng,id,name,building_type,type,url,page_type
# porto_azzurro -- bars_cafes.csv
42.773155,10.401492,ov_san_cerbone_42.7732_10.4015,San Cerbone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/san_cerbone_42.7732_10.4015.json,custom
42.763496,10.399967,ov_dezlaif_bistrot_42.7635_10.4000,Dezlaif Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/dezlaif_bistrot_42.7635_10.4000.json,custom
42.763765,10.399555,ov_caf__del_mar_42.7638_10.3996,Cafè del Mar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/caf_del_mar_42.7638_10.3996.json,custom
42.763714,10.399666,ov_verano_cocktail_bar_42.7637_10.3997,Verano Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/verano_cocktail_bar_42.7637_10.3997.json,custom
42.764643,10.395438,ov_macondo_beach_bar_42.7646_10.3954,Macondo beach bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/macondo_beach_bar_42.7646_10.3954.json,custom
42.765350,10.396558,ov_rick_s_42.7654_10.3966,Rick's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ricks_42.7654_10.3966.json,custom
42.765358,10.398481,ov_el_papagayo_42.7654_10.3985,El Papagayo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/el_papagayo_42.7654_10.3985.json,custom
42.765594,10.398350,ov_bar_zerosei_42.7656_10.3983,Bar Zerosei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/bar_zerosei_42.7656_10.3983.json,custom
42.765690,10.397195,ov_bar_corinto_42.7657_10.3972,Bar Corinto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/bar_corinto_42.7657_10.3972.json,custom
42.765586,10.397761,ov_cafe_roma_42.7656_10.3978,Cafe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/cafe_roma_42.7656_10.3978.json,custom
42.766303,10.396526,ov_elba_h24_42.7663_10.3965,Elba H24,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/elba_h24_42.7663_10.3965.json,custom
42.766048,10.398585,ov_altaluna_42.7660_10.3986,Altaluna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/altaluna_42.7660_10.3986.json,custom
42.766160,10.397581,ov_il_calice_di_vino_42.7662_10.3976,Il Calice Di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/il_calice_di_vino_42.7662_10.3976.json,custom
42.766148,10.397435,ov_enoteca_i_sapori_del_sole_42.7661_10.3974,Enoteca i sapori del sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/enoteca_i_sapori_del_sole_42.7661_10.3974.json,custom
42.766050,10.397788,ov_barkollo_winepub_42.7660_10.3978,Barkollo winepub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/barkollo_winepub_42.7660_10.3978.json,custom
42.765850,10.397680,ov_prezzemolina_porto_azzurro_42.7659_10.3977,Prezzemolina Porto Azzurro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/prezzemolina_porto_azzurro_42.7659_10.3977.json,custom
42.768216,10.396220,ov_zio_charlye_bar_42.7682_10.3962,Zio Charlye Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/zio_charlye_bar_42.7682_10.3962.json,custom
42.768420,10.393355,ov_cafe_gio_42.7684_10.3934,Cafe Gio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/cafe_gio_42.7684_10.3934.json,custom
42.760152,10.370740,ov_bar_56_42.7602_10.3707,Bar 56,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/bar_56_42.7602_10.3707.json,custom
42.757983,10.391149,ov_elbafrozen_bar_cantiere_navale_golfo_di__42.7580_10.3911,ElbaFrozen BAR Cantiere Navale Golfo di Mola -,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/elbafrozen_bar_cantiere_navale_golfo_di__42.7580_10.3911.json,custom
42.763435,10.400121,osm_dezlaif_42.7634_10.4001,DezLaif,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/dezlaif_42.7634_10.4001.json,custom
42.765412,10.396076,osm_mamade_crafty_bar_42.7654_10.3961,MAMADE crafty bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/mamade_crafty_bar_42.7654_10.3961.json,custom
42.765273,10.396609,osm_rick_s_bar_42.7653_10.3966,Rick's Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ricks_bar_42.7653_10.3966.json,custom
