# lat,lng,id,name,building_type,type,url,page_type
# Albanella -- Tutti
40.477916,15.115793,osm_guardia_medica_di_albanella_40.4779_15.1158,Guardia Medica di Albanella,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/guardia_medica_di_albanella_40.4779_15.1158.json,custom
40.498250,15.030900,ov_farina_rossa_40.4982_15.0309,Farina Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/farina_rossa_40.4982_15.0309.json,custom
40.478746,15.113951,ov_polleria_da_maria_40.4787_15.1140,Polleria da Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/polleria_da_maria_40.4787_15.1140.json,custom
40.477259,15.114997,ov_rosticceria_da_clara_40.4773_15.1150,Rosticceria Da Clara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/rosticceria_da_clara_40.4773_15.1150.json,custom
40.490159,15.091904,ov_ristorante_pizzeria_la_fattoria_40.4902_15.0919,Ristorante Pizzeria La Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/ristorante_pizzeria_la_fattoria_40.4902_15.0919.json,custom
40.498711,15.035364,ov_ristorante_pizzeria_mimosa_40.4987_15.0354,Ristorante Pizzeria Mimosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/ristorante_pizzeria_mimosa_40.4987_15.0354.json,custom
40.499897,15.040118,ov_mimosa_ristorante_pizzeria__40.4999_15.0401,Mimosa ristorante pizzeria.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/mimosa_ristorante_pizzeria_40.4999_15.0401.json,custom
40.502602,15.062612,ov_l_osteria_40.5026_15.0626,L'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/losteria_40.5026_15.0626.json,custom
40.502951,15.066850,ov_moris_pizza_e_panuozzo_matinella_40.5030_15.0669,Moris pizza e panuozzo-Matinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/moris_pizza_e_panuozzo-matinella_40.5030_15.0669.json,custom
40.502691,15.066932,ov_voglia_di_pizza_40.5027_15.0669,Voglia di pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/voglia_di_pizza_40.5027_15.0669.json,custom
40.503830,15.064724,ov_da_gerardo_pizzeria_e_braceria_40.5038_15.0647,Da Gerardo Pizzeria e Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/da_gerardo_pizzeria_e_braceria_40.5038_15.0647.json,custom
40.488666,15.145521,ov_il_sanzaro_home_restaurant_40.4887_15.1455,Il Sanzaro Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/il_sanzaro_home_restaurant_40.4887_15.1455.json,custom
40.481772,15.100966,ov_civico_11___la_locanda_tra_gli_ulivi_40.4818_15.1010,Civico 11 - La Locanda tra gli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/civico_11_-_la_locanda_tra_gli_ulivi_40.4818_15.1010.json,custom
40.480790,15.112970,ov_peccati_di_gola___pizzeria___albanella_40.4808_15.1130,Peccati Di Gola / Pizzeria - Albanella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/peccati_di_gola_pizzeria_-_albanella_40.4808_15.1130.json,custom
40.505471,15.067374,ov_il_buongustaio_40.5055_15.0674,Il Buongustaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/il_buongustaio_40.5055_15.0674.json,custom
40.506603,15.065548,ov_la_taverna_del_brigante_40.5066_15.0655,La Taverna Del Brigante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/la_taverna_del_brigante_40.5066_15.0655.json,custom
40.508813,15.070848,ov_la_collinetta_40.5088_15.0708,La Collinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/la_collinetta_40.5088_15.0708.json,custom
40.477855,15.117496,ov_mykonos_pub_40.4779_15.1175,Mykonos pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/mykonos_pub_40.4779_15.1175.json,custom
40.477230,15.113960,ov_il_boschetto_sporting_club_40.4772_15.1140,Il Boschetto Sporting Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/il_boschetto_sporting_club_40.4772_15.1140.json,custom
40.477356,15.065716,ov_new_club_vallecentanni_40.4774_15.0657,New Club Vallecentanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/new_club_vallecentanni_40.4774_15.0657.json,custom
40.503172,15.064474,ov_il_millionaire_40.5032_15.0645,Il Millionaire,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/il_millionaire_40.5032_15.0645.json,custom
40.503118,15.066425,ov_bar_pasticceria_il_tulipano_40.5031_15.0664,Bar Pasticceria Il Tulipano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/bar_pasticceria_il_tulipano_40.5031_15.0664.json,custom
40.503250,15.067190,ov_l_antico_caff__40.5033_15.0672,L'Antico Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/lantico_caff_40.5033_15.0672.json,custom
40.503664,15.066711,ov_bar_europa_40.5037_15.0667,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/bar_europa_40.5037_15.0667.json,custom
40.504345,15.066684,ov_eliana_bar_di_eliana_guarracino_40.5043_15.0667,Eliana Bar di Eliana Guarracino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/eliana_bar_di_eliana_guarracino_40.5043_15.0667.json,custom
40.496913,15.066237,ov_caffe__lotto_tabacchi_40.4969_15.0662,Caffe' LOTTO Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/caffe_lotto_tabacchi_40.4969_15.0662.json,custom
40.497695,15.121664,ov_molino_giardullo_40.4977_15.1217,Molino Giardullo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/molino_giardullo_40.4977_15.1217.json,custom
40.488563,15.144404,ov_bar_oasi_40.4886_15.1444,Bar Oasi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/bar_oasi_40.4886_15.1444.json,custom
40.479628,15.115618,ov_a_chiazz_40.4796_15.1156,A'Chiazz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/achiazz_40.4796_15.1156.json,custom
40.481487,15.112903,ov_caffe_del_corso_40.4815_15.1129,Caffe Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/caffe_del_corso_40.4815_15.1129.json,custom
40.479985,15.116615,ov_asd_royal_dance_academy_di_francesca_coc_40.4800_15.1166,Asd Royal Dance academy di Francesca Coccaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/asd_royal_dance_academy_di_francesca_coc_40.4800_15.1166.json,custom
40.506894,15.059371,ov_j__ranch_40.5069_15.0594,Jò Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/albanella/pages/j_ranch_40.5069_15.0594.json,custom
