# lat,lng,id,name,building_type,type,url,page_type
# piovene_rocchette -- restaurants
45.739872,11.422295,ov_centro_ippico_el_picadero_45.7399_11.4223,Centro Ippico El Picadero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/centro_ippico_el_picadero_45.7399_11.4223.json,custom
45.758291,11.418589,ov_trattoria_all_angelo_45.7583_11.4186,Trattoria all'Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/trattoria_allangelo_45.7583_11.4186.json,custom
45.758083,11.428640,ov_birreria_vecia_1867_45.7581_11.4286,Birreria Vecia 1867,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/birreria_vecia_1867_45.7581_11.4286.json,custom
45.753210,11.430249,ov_pizzeria_mezzometro_45.7532_11.4302,Pizzeria Mezzometro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/pizzeria_mezzometro_45.7532_11.4302.json,custom
45.758445,11.429997,ov_trattoria_al_bersagliere_45.7584_11.4300,Trattoria al Bersagliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/trattoria_al_bersagliere_45.7584_11.4300.json,custom
45.765056,11.431165,ov_ristorante_la_villa_45.7651_11.4312,Ristorante La Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/ristorante_la_villa_45.7651_11.4312.json,custom
45.740882,11.437891,ov_trattoria_acquario_45.7409_11.4379,Trattoria Acquario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/trattoria_acquario_45.7409_11.4379.json,custom
45.758428,11.429967,osm_bersagliere_45.7584_11.4300,Bersagliere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/bersagliere_45.7584_11.4300.json,custom
45.763468,11.431730,osm_bar_trattoria_flo_s_45.7635_11.4317,Bar Trattoria Flo's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/bar_trattoria_flos_45.7635_11.4317.json,custom
45.770847,11.416536,osm_birreria_summano_45.7708_11.4165,Birreria Summano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/piovene_rocchette/pages/birreria_summano_45.7708_11.4165.json,custom
