# lat,lng,citta,slug,ospedali,ristoranti,bar_cafe,palestre,monumenti
41.124218,16.725321,70057 Palese (BA),70057_palese_ba,0,0,0,0,0
41.908940,15.168915,71010 Chieuti (FG),71010_chieuti_fg,0,0,0,0,0
41.178191,15.632327,71022 Ascoli Satriano (FG),71022_ascoli_satriano_fg,0,0,0,0,0
41.191469,15.812478,71042 Cerignola,71042_cerignola,0,0,0,0,0
41.067087,15.316329,83059 Vallata (AV),83059_vallata_av,0,0,0,0,0
40.623843,15.182489,84022 Campagna (SA),84022_campagna_sa,0,0,0,0,0
39.841973,16.245003,87010 Castrovillari (CS),87010_castrovillari_cs,0,0,0,0,0
40.144961,15.357601,Abatemarco,abatemarco,0,0,0,0,0
40.507032,15.799041,Abriola,abriola,0,0,0,0,0
41.158750,15.331727,Accadia,accadia,0,0,0,0,0
40.490630,16.149881,Accettura,accettura,0,0,0,0,0
40.179283,15.026208,Acciaroli,acciaroli,0,0,0,0,0
40.794542,15.939975,Acerenza,acerenza,0,0,0,0,0
40.736662,15.054664,Acerno,acerno,0,0,0,0,0
39.723855,16.092474,Acquaformosa,acquaformosa,0,0,0,0,0
39.917168,18.237964,Acquarica del Capo,acquarica_del_capo,0,0,0,0,0
40.082511,15.448399,Acquavena di Roccagloriosa,acquavena_di_roccagloriosa,0,0,0,0,0
40.895081,16.841746,Acquaviva delle Fonti,acquaviva_delle_fonti,0,0,0,0,0
39.520121,16.414288,Acri,acri,0,0,0,0,0
41.001454,16.874362,Adelfia,adelfia,0,0,0,0,0
40.054110,16.053011,Agromonte Magnano,agromonte_magnano,0,0,0,0,0
40.362086,15.011741,Agropoli,agropoli,0,0,0,0,0
39.914735,15.823360,Aieta,aieta,0,0,0,0,0
40.493321,15.085401,Albanella,albanella,0,0,0,0,0
40.594844,16.029791,Albano di Lucania,albano_di_lucania,0,0,0,0,0
40.785176,17.238586,Alberobello,alberobello,0,0,0,0,0
41.431134,15.122941,Alberona,alberona,0,0,0,0,0
39.921782,16.493224,Albidona,albidona,0,0,0,0,0
39.958173,16.378684,Alessandria del Carretto,alessandria_del_carretto,0,0,0,0,0
39.891522,18.335560,Alessano,alessano,0,0,0,0,0
40.063179,18.057766,Alezio,alezio,0,0,0,0,0
40.175486,15.432464,Alfano,alfano,0,0,0,0,0
40.309481,16.238483,Aliano,aliano,0,0,0,0,0
39.939725,18.088993,Alliste,alliste,0,0,0,0,0
40.827501,16.554843,Altamura,altamura,0,0,0,0,0
40.528491,15.098659,Altavilla Silentina,altavilla_silentina,0,0,0,0,0
39.692199,16.143278,Altomonte,altomonte,0,0,0,0,0
39.944206,16.603166,Amendolara,amendolara,0,0,0,0,0
39.979444,18.384655,Andrano,andrano,0,0,0,0,0
40.937972,15.324840,Andretta,andretta,0,0,0,0,0
41.221123,16.293457,Andria,andria,0,0,0,0,0
41.226815,16.298935,Andria (BT),andria_bt,0,0,0,0,0
40.893746,17.242003,Antonelli,antonelli,0,0,0,0,0
41.120641,15.291457,Anzano di Puglia,anzano_di_puglia,0,0,0,0,0
40.518125,15.913583,Anzi,anzi,0,0,0,0,0
41.784926,15.445919,Apricena,apricena,0,0,0,0,0
40.443926,15.250396,Aquara,aquara,0,0,0,0,0
40.987673,15.475746,Aquilonia,aquilonia,0,0,0,0,0
40.130385,18.130021,Aradeo,aradeo,0,0,0,0,0
41.151915,15.091094,Ariano Irpino,ariano_irpino,0,0,0,0,0
40.295095,16.071622,Armento,armento,0,0,0,0,0
40.342959,18.090437,Arnesano,arnesano,0,0,0,0,0
40.153238,15.209952,Ascea,ascea,0,0,0,0,0
41.204073,15.571664,Ascoli Satriano,ascoli_satriano,0,0,0,0,0
40.899895,15.639495,Atella,atella,0,0,0,0,0
40.455818,15.545453,Atena Lucana,atena_lucana,0,0,0,0,0
40.560407,15.429085,Auletta,auletta,0,0,0,0,0
40.901735,15.104260,Avellino,avellino,0,0,0,0,0
40.349307,17.716558,Avetrana,avetrana,0,0,0,0,0
40.754373,15.737455,Avigliano,avigliano,0,0,0,0,0
40.822512,15.082885,Bagnoli Irpino,bagnoli_irpino,0,0,0,0,0
40.149099,18.354410,Bagnolo del Salento,bagnolo_del_salento,0,0,0,0,0
40.634849,15.561379,Balvano,balvano,0,0,0,0,0
40.861020,16.015030,Banzi,banzi,0,0,0,0,0
40.689337,15.581577,Baragiano,baragiano,0,0,0,0,0
40.692624,15.576176,Baragiano Scalo,baragiano_scalo,0,0,0,0,0
41.116480,16.862524,Bari,bari,0,0,0,0,0
41.081637,16.787564,Bari Sardo,bari_sardo,0,0,0,0,0
40.945355,15.674500,Barile,barile,0,0,0,0,0
41.316247,16.278718,Barletta,barletta,0,0,0,0,0
40.456254,15.022076,Battipaglia,battipaglia,0,0,0,0,0
40.749659,15.546523,Bella,bella,0,0,0,0,0
40.422891,15.312598,Bellosguardo,bellosguardo,0,0,0,0,0
39.627491,15.852034,Belvedere Marittimo,belvedere_marittimo,0,0,0,0,0
40.399428,16.732446,Bernalda,bernalda,0,0,0,0,0
41.402604,15.198099,Biccari,biccari,0,0,0,0,0
41.022509,16.710551,Binetto,binetto,0,0,0,0,0
41.012039,15.364112,Bisaccia,bisaccia,0,0,0,0,0
41.238429,16.500748,Bisceglie,bisceglie,0,0,0,0,0
39.516542,16.270402,Bisignano,bisignano,0,0,0,0,0
41.039917,16.748417,Bitetto,bitetto,0,0,0,0,0
41.107855,16.686249,Bitonto,bitonto,0,0,0,0,0
