# lat,lng,id,name,building_type,type,url,page_type
# san_prisco -- restaurants
41.087907,14.266264,ov_maccaro_paraosteria_41.0879_14.2663,Maccaro Paraosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/maccaro_paraosteria_41.0879_14.2663.json,custom
41.089647,14.265794,ov_pizza_e_fritti_salvo_41.0896_14.2658,Pizza e Fritti Salvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/pizza_e_fritti_salvo_41.0896_14.2658.json,custom
41.089610,14.265640,ov_mako_pizza_e_cucina_41.0896_14.2656,Mako Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/mako_pizza_e_cucina_41.0896_14.2656.json,custom
41.082480,14.270231,ov_radis_trattoria_moderna_41.0825_14.2702,Radis Trattoria Moderna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/radis_trattoria_moderna_41.0825_14.2702.json,custom
41.088643,14.267290,ov_ristorante___agriturismo_oasi_park_adven_41.0886_14.2673,Ristorante & Agriturismo Oasi Park Adventure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/ristorante_agriturismo_oasi_park_adventu_41.0886_14.2673.json,custom
41.088039,14.271134,ov_ristorante_da_giovanni_41.0880_14.2711,Ristorante da Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/ristorante_da_giovanni_41.0880_14.2711.json,custom
41.088053,14.272096,ov_il_mio_girarrosto_41.0881_14.2721,Il mio Girarrosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/il_mio_girarrosto_41.0881_14.2721.json,custom
41.089626,14.272244,ov_zoe___premium_bar_e_restaurant_41.0896_14.2722,Zoe - Premium Bar e Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/zoe_-_premium_bar_e_restaurant_41.0896_14.2722.json,custom
41.080963,14.273701,ov_ristorante_pizzeria_manuno_41.0810_14.2737,Ristorante Pizzeria Manuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/ristorante_pizzeria_manuno_41.0810_14.2737.json,custom
41.081518,14.273699,ov_pizzeria_da_buchi_buchi_41.0815_14.2737,Pizzeria Da Buchi Buchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/pizzeria_da_buchi_buchi_41.0815_14.2737.json,custom
41.083350,14.272281,ov_pizzeria_da_jessi_41.0833_14.2723,Pizzeria da Jessi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/san_prisco/pages/pizzeria_da_jessi_41.0833_14.2723.json,custom
