# lat,lng,id,name,building_type,type,url,page_type
# monti -- restaurants.csv
40.815058,9.336772,ov_agriturismo_il_vermentino_40.8151_9.3368,Agriturismo il Vermentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/agriturismo_il_vermentino_40.8151_9.3368.json,custom
40.842243,9.404803,ov_ristorante_aghiloia_40.8422_9.4048,Ristorante Aghiloia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/ristorante_aghiloia_40.8422_9.4048.json,custom
40.827079,9.339390,ov_agriturismo_sa_pinnetta_40.8271_9.3394,Agriturismo Sa Pinnetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/agriturismo_sa_pinnetta_40.8271_9.3394.json,custom
40.804266,9.329723,ov_agriturismo_sa_pinnetta_40.8043_9.3297,Agriturismo SA Pinnetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/agriturismo_sa_pinnetta_40.8043_9.3297.json,custom
40.803714,9.326413,ov_ristorante_pizzeria_la_pineta_40.8037_9.3264,Ristorante Pizzeria la Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/ristorante_pizzeria_la_pineta_40.8037_9.3264.json,custom
40.805726,9.324269,ov_trattoria_locanda_stella_40.8057_9.3243,Trattoria Locanda Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/trattoria_locanda_stella_40.8057_9.3243.json,custom
40.808397,9.325545,ov_agriturismo_i_graniti_40.8084_9.3255,Agriturismo I Graniti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/agriturismo_i_graniti_40.8084_9.3255.json,custom
40.805294,9.321922,ov_pizzeria_paninoteca_alcatraz_40.8053_9.3219,Pizzeria Paninoteca Alcatraz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/pizzeria_paninoteca_alcatraz_40.8053_9.3219.json,custom
40.805338,9.321918,ov_ristorante_pizzeria_victory_40.8053_9.3219,Ristorante Pizzeria Victory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/ristorante_pizzeria_victory_40.8053_9.3219.json,custom
40.805163,9.322000,ov_locanda_del_deglio_40.8052_9.3220,Locanda del deglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/locanda_del_deglio_40.8052_9.3220.json,custom
40.827000,9.339545,osm_agriturismo_sa_pinnetta_40.8270_9.3395,Agriturismo Sa Pinnetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/monti/pages/agriturismo_sa_pinnetta_40.8270_9.3395.json,custom
