# lat,lng,id,name,building_type,type,url,page_type
# russi -- restaurants
44.402258,12.052400,ov_casale_falasco_44.4023_12.0524,Casale Falasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/casale_falasco_44.4023_12.0524.json,custom
44.390804,12.062744,ov_ristorante_il_sociale_della_caccia_44.3908_12.0627,Ristorante Il Sociale della Caccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ristorante_il_sociale_della_caccia_44.3908_12.0627.json,custom
44.394479,12.039798,ov_trattoria_dal_mascottino_44.3945_12.0398,Trattoria dal Mascottino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/trattoria_dal_mascottino_44.3945_12.0398.json,custom
44.394474,12.039624,ov_la_mascotte_44.3945_12.0396,La Mascotte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/la_mascotte_44.3945_12.0396.json,custom
44.384073,12.023464,ov_rossteria_busdesgnaus_44.3841_12.0235,Rossteria Busdesgnaus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/rossteria_busdesgnaus_44.3841_12.0235.json,custom
44.363032,12.056065,ov_cappelletto_82_44.3630_12.0561,Cappelletto 82,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/cappelletto_82_44.3630_12.0561.json,custom
44.370483,12.033682,ov_insolito_ristorante_gourmet_44.3705_12.0337,Insolito Ristorante Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/insolito_ristorante_gourmet_44.3705_12.0337.json,custom
44.370646,12.033356,ov_teriyakiboy_hu_huochang_44.3706_12.0334,Teriyakiboy Hu Huochang,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/teriyakiboy_hu_huochang_44.3706_12.0334.json,custom
44.369229,12.024131,ov_pizzeria_da_pino_44.3692_12.0241,Pizzeria da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/pizzeria_da_pino_44.3692_12.0241.json,custom
44.368564,12.022944,ov_il_chiosco_44.3686_12.0229,Il Chiosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/il_chiosco_44.3686_12.0229.json,custom
