# lat,lng,id,name,building_type,type,url,page_type
# Brescello -- Tutti
44.897953,10.509588,ov_ospedale_a_brescello_44.8980_10.5096,Ospedale a Brescello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/ospedale_a_brescello_44.8980_10.5096.json,custom
44.257351,10.550475,ov_lalli_s_44.2574_10.5505,Lalli's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/lallis_44.2574_10.5505.json,custom
44.895985,10.500921,ov_trattoria_don_camillo_44.8960_10.5009,Trattoria Don Camillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/trattoria_don_camillo_44.8960_10.5009.json,custom
44.898843,10.520981,ov_la_vera_smorfia_44.8988_10.5210,La Vera Smorfia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/la_vera_smorfia_44.8988_10.5210.json,custom
44.900874,10.512126,ov_il_bento_44.9009_10.5121,Il Bento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/il_bento_44.9009_10.5121.json,custom
44.900941,10.513742,ov_la_botte_golosa_44.9009_10.5137,La Botte Golosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/la_botte_golosa_44.9009_10.5137.json,custom
44.901235,10.514751,ov_la_bottega_del_paese_di_don_camillo_44.9012_10.5148,La Bottega del Paese di Don Camillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/la_bottega_del_paese_di_don_camillo_44.9012_10.5148.json,custom
44.901269,10.515092,ov_la_locomotiva_gastronomica_44.9013_10.5151,La Locomotiva Gastronomica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/la_locomotiva_gastronomica_44.9013_10.5151.json,custom
44.900977,10.516132,ov_pizzeria_barilotto_pasquale_44.9010_10.5161,Pizzeria Barilotto Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/pizzeria_barilotto_pasquale_44.9010_10.5161.json,custom
44.900399,10.515889,ov_piccolo_mondo_del_gusto_44.9004_10.5159,Piccolo Mondo del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/piccolo_mondo_del_gusto_44.9004_10.5159.json,custom
44.901182,10.514669,ov_bar_piccola_lu_44.9012_10.5147,Bar Piccola Lu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/bar_piccola_lu_44.9012_10.5147.json,custom
44.901336,10.515315,ov_don_camillo_e_peppone_44.9013_10.5153,Don camillo e Peppone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/don_camillo_e_peppone_44.9013_10.5153.json,custom
44.901311,10.515363,ov_caffe_peppone_44.9013_10.5154,Caffe Peppone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/caffe_peppone_44.9013_10.5154.json,custom
44.901602,10.515489,ov_caff__don_camillo_44.9016_10.5155,Caffè Don Camillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/caff_don_camillo_44.9016_10.5155.json,custom
44.894425,10.512568,ov_urban_dance_studio_44.8944_10.5126,Urban Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/urban_dance_studio_44.8944_10.5126.json,custom
44.900026,10.518402,ov_a_s_d_giuseppe_verdi_44.9000_10.5184,A.S.D Giuseppe Verdi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/asd_giuseppe_verdi_44.9000_10.5184.json,custom
44.900774,10.514676,ov_museo_di_don_camillo_e_peppone_44.9008_10.5147,Museo di Don Camillo e Peppone,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/museo_di_don_camillo_e_peppone_44.9008_10.5147.json,custom
44.900788,10.514372,ov_biblioteca_comunale_panizzi_brescello_44.9008_10.5144,Biblioteca Comunale Panizzi Brescello,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/biblioteca_comunale_panizzi_brescello_44.9008_10.5144.json,custom
