# lat,lng,id,name,building_type,type,url,page_type
# noventa_padovana -- restaurants
45.408655,11.996173,ov_da_marziano_45.4087_11.9962,Da Marziano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/da_marziano_45.4087_11.9962.json,custom
45.406863,11.946681,ov_ristorante_ca__novena_45.4069_11.9467,Ristorante Ca' Novena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/ristorante_ca_novena_45.4069_11.9467.json,custom
45.412651,11.942815,ov_arrogante_45.4127_11.9428,Arrogante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/arrogante_45.4127_11.9428.json,custom
45.412562,11.947853,ov_l_artigiana_gastronomia_45.4126_11.9479,L'Artigiana Gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/lartigiana_gastronomia_45.4126_11.9479.json,custom
45.412455,11.948198,ov_cantina_italiana_e_bistro_45.4125_11.9482,Cantina Italiana e Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/cantina_italiana_e_bistro_45.4125_11.9482.json,custom
45.412119,11.949892,ov_opificio_padova_45.4121_11.9499,Opificio Padova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/opificio_padova_45.4121_11.9499.json,custom
45.411766,11.949098,ov_fuori_di_zucca_45.4118_11.9491,Fuori Di Zucca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/fuori_di_zucca_45.4118_11.9491.json,custom
45.411087,11.948773,ov_ricerca_e_sapori___lo_sfizio_45.4111_11.9488,Ricerca e Sapori - Lo Sfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/ricerca_e_sapori_-_lo_sfizio_45.4111_11.9488.json,custom
45.410829,11.949178,ov_new_pizza_45.4108_11.9492,New Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/new_pizza_45.4108_11.9492.json,custom
45.410359,11.988490,ov_baessato_noventa_45.4104_11.9885,Baessato Noventa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/baessato_noventa_45.4104_11.9885.json,custom
45.410472,11.985649,ov_il_giardino_di_mim____homerestaurant_45.4105_11.9856,Il Giardino di Mimì - HomeRestaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/il_giardino_di_mim_-_homerestaurant_45.4105_11.9856.json,custom
45.410810,11.988861,ov_japan_house_45.4108_11.9889,Japan House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noventa_padovana/pages/japan_house_45.4108_11.9889.json,custom
