# lat,lng,id,name,building_type,type,url,page_type
# sarnico -- restaurants.csv
45.665797,9.958144,ov_il_chiostro_45.6658_9.9581,Il Chiostro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/il_chiostro_45.6658_9.9581.json,custom
45.666642,9.956608,ov_la_rosa_scarlatta_45.6666_9.9566,La Rosa Scarlatta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_rosa_scarlatta_45.6666_9.9566.json,custom
45.666866,9.956078,ov_l_amalfitana_45.6669_9.9561,L’Amalfitana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/lamalfitana_45.6669_9.9561.json,custom
45.666822,9.956006,ov_dinner_45.6668_9.9560,Dinner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/dinner_45.6668_9.9560.json,custom
45.667376,9.957810,ov_la_locanda_45.6674_9.9578,La Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_locanda_45.6674_9.9578.json,custom
45.667565,9.957363,ov_da_maria_45.6676_9.9574,Da Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/da_maria_45.6676_9.9574.json,custom
45.667509,9.957127,ov_pizzeria_da_maria_45.6675_9.9571,Pizzeria Da Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/pizzeria_da_maria_45.6675_9.9571.json,custom
45.667728,9.957353,ov_mastro_45.6677_9.9574,Mastro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/mastro_45.6677_9.9574.json,custom
45.670549,9.956112,ov_la_piadineria_45.6705_9.9561,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_piadineria_45.6705_9.9561.json,custom
45.670806,9.957848,ov_ristorante_al_poggio_45.6708_9.9578,Ristorante al Poggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/ristorante_al_poggio_45.6708_9.9578.json,custom
