# lat,lng,id,name,building_type,type,url,page_type
# capannoli -- restaurants
43.563520,10.665280,ov_ristoro_sangervasio_43.5635_10.6653,Ristoro SanGervasio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/ristoro_sangervasio_43.5635_10.6653.json,custom
43.571722,10.682709,ov_ristorante_la_sorgente_43.5717_10.6827,Ristorante La Sorgente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/ristorante_la_sorgente_43.5717_10.6827.json,custom
43.573853,10.648525,ov_ristorante_la_cambusa_43.5739_10.6485,Ristorante La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/ristorante_la_cambusa_43.5739_10.6485.json,custom
43.596370,10.665810,ov_il_capricorno_bar_trattoria_43.5964_10.6658,Il Capricorno Bar Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/il_capricorno_bar_trattoria_43.5964_10.6658.json,custom
43.593002,10.678066,ov_la_casina_ctr_43.5930_10.6781,La Casina CTR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/la_casina_ctr_43.5930_10.6781.json,custom
43.590727,10.670677,ov_pizzeria_pinseria_la_bella_roma_43.5907_10.6707,Pizzeria Pinseria La Bella Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/pizzeria_pinseria_la_bella_roma_43.5907_10.6707.json,custom
43.587871,10.673242,ov_la_sorgente_capannoli_43.5879_10.6732,La Sorgente Capannoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/la_sorgente_capannoli_43.5879_10.6732.json,custom
43.588453,10.673051,ov_pizzeria_venere_capannoli_43.5885_10.6731,Pizzeria Venere Capannoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/pizzeria_venere_capannoli_43.5885_10.6731.json,custom
43.588860,10.672760,ov_osteria_del_sole_43.5889_10.6728,Osteria del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/osteria_del_sole_43.5889_10.6728.json,custom
43.586065,10.676859,ov_ristorante_villa_la_torre_43.5861_10.6769,Ristorante Villa La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/ristorante_villa_la_torre_43.5861_10.6769.json,custom
43.586107,10.675177,ov_pizza___company_43.5861_10.6752,Pizza & Company,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/capannoli/pages/pizza_company_43.5861_10.6752.json,custom
