# lat,lng,id,name,building_type,type,url,page_type
# arches-la-frasse -- restaurants
46.055871,6.629854,ov_chaud_devant_46.0559_6.6299,Chaud Devant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/chaud_devant_46.0559_6.6299.json,custom
46.053001,6.623009,ov_gite_de_gers_46.0530_6.6230,Gite de Gers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/gite_de_gers_46.0530_6.6230.json,custom
46.002488,6.716435,ov_le_blanchot_46.0025_6.7164,Le Blanchot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_blanchot_46.0025_6.7164.json,custom
46.002228,6.700487,ov_restaurant_l_epicea_46.0022_6.7005,Restaurant l'Epicea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/restaurant_lepicea_46.0022_6.7005.json,custom
46.001488,6.698450,ov_la_pente___jules_46.0015_6.6984,La Pente à Jules,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/la_pente_jules_46.0015_6.6984.json,custom
46.005870,6.698678,ov_le_bissac_46.0059_6.6987,Le Bissac,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_bissac_46.0059_6.6987.json,custom
46.003049,6.697184,ov_le_michet_46.0030_6.6972,Le Michet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_michet_46.0030_6.6972.json,custom
46.008968,6.682437,ov_l_eterlou_46.0090_6.6824,L'eterlou,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/leterlou_46.0090_6.6824.json,custom
46.009102,6.679893,ov_la_table_d_h_lios_46.0091_6.6799,La Table d'Hélios,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/la_table_dhlios_46.0091_6.6799.json,custom
46.031213,6.681596,ov_alpage_de_l_airon_46.0312_6.6816,Alpage de l'Airon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/alpage_de_lairon_46.0312_6.6816.json,custom
46.008856,6.672585,ov_restaurant_du_golf_de_flaine_46.0089_6.6726,Restaurant du golf de flaine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/restaurant_du_golf_de_flaine_46.0089_6.6726.json,custom
46.022075,6.671212,ov_chalet_des_molliets_46.0221_6.6712,Chalet des Molliets,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/chalet_des_molliets_46.0221_6.6712.json,custom
46.026871,6.666146,ov_le_k_46.0269_6.6661,Le K,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_k_46.0269_6.6661.json,custom
46.035906,6.638721,ov_ferme_du_lays_46.0359_6.6387,Ferme du Lays,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/ferme_du_lays_46.0359_6.6387.json,custom
46.044500,6.633310,ov_le_croc_blanc_46.0445_6.6333,Le croc blanc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_croc_blanc_46.0445_6.6333.json,custom
46.025705,6.637874,ov_le_marlow_46.0257_6.6379,Le Marlow,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_marlow_46.0257_6.6379.json,custom
46.025756,6.637726,ov_la_pointe_noire_46.0258_6.6377,La Pointe Noire,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/la_pointe_noire_46.0258_6.6377.json,custom
46.020898,6.636864,ov_chalet_d_clair_46.0209_6.6369,Chalet D'clair,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/chalet_dclair_46.0209_6.6369.json,custom
46.025492,6.636393,ov_le_refuge_1110m_46.0255_6.6364,Le refuge 1110m,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_refuge_1110m_46.0255_6.6364.json,custom
46.025859,6.639337,ov_o_poulailler_46.0259_6.6393,O'Poulailler,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/opoulailler_46.0259_6.6393.json,custom
46.026181,6.638835,ov_le_carnotzet_46.0262_6.6388,Le Carnotzet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_carnotzet_46.0262_6.6388.json,custom
46.025964,6.638356,ov_l_agora_46.0260_6.6384,L'Agora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/lagora_46.0260_6.6384.json,custom
46.026230,6.638488,ov_le_n_v__46.0262_6.6385,Le Névé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_nv_46.0262_6.6385.json,custom
46.026741,6.638365,ov_aux_petits_oignons_46.0267_6.6384,Aux Petits Oignons,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/aux_petits_oignons_46.0267_6.6384.json,custom
46.024554,6.641795,ov_le_poirier_46.0246_6.6418,Le Poirier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_poirier_46.0246_6.6418.json,custom
46.024751,6.641370,ov_le_y_ti_46.0248_6.6414,Le Yéti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/arches-la-frasse/pages/le_yti_46.0248_6.6414.json,custom
