# lat,lng,id,name,building_type,type,url,page_type
# vinci -- restaurants
43.803408,10.931846,ov_afternoon_tea_club_43.8034_10.9318,Afternoon Tea Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/afternoon_tea_club_43.8034_10.9318.json,custom
43.795386,10.923132,ov_la_burra_di_vinci_43.7954_10.9231,La Burra di Vinci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/la_burra_di_vinci_43.7954_10.9231.json,custom
43.791274,10.917236,ov_agriturismo_il_piastrino_43.7913_10.9172,Agriturismo Il Piastrino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/agriturismo_il_piastrino_43.7913_10.9172.json,custom
43.785053,10.925490,ov_la_bottega_di_nonno_mario_43.7851_10.9255,La Bottega Di nonno Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/la_bottega_di_nonno_mario_43.7851_10.9255.json,custom
43.785006,10.925312,ov_la_monna_lisa_43.7850_10.9253,La Monna Lisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/la_monna_lisa_43.7850_10.9253.json,custom
43.785679,10.925910,ov_l_aperistreet_a_vinci_by_nicchio_43.7857_10.9259,L Aperistreet a Vinci by Nicchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/l_aperistreet_a_vinci_by_nicchio_43.7857_10.9259.json,custom
43.786193,10.925849,ov_ristorante_atman_43.7862_10.9258,Ristorante Atman,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/ristorante_atman_43.7862_10.9258.json,custom
43.786362,10.926277,ov_pink_pepper_43.7864_10.9263,Pink Pepper,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/pink_pepper_43.7864_10.9263.json,custom
43.788133,10.927517,ov_ristorante_leonardo_43.7881_10.9275,Ristorante Leonardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/ristorante_leonardo_43.7881_10.9275.json,custom
43.788065,10.927334,ov_ristorante_la_torretta_43.7881_10.9273,Ristorante La Torretta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/ristorante_la_torretta_43.7881_10.9273.json,custom
