# lat,lng,id,name,building_type,type,url,page_type
# cervignano_del_friuli -- restaurants.csv
45.855693,13.313701,ov_agriturismo_san_gallo_45.8557_13.3137,Agriturismo San Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/agriturismo_san_gallo_45.8557_13.3137.json,custom
45.849515,13.322880,ov_ristorante_cina_45.8495_13.3229,Ristorante Cina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/ristorante_cina_45.8495_13.3229.json,custom
45.852149,13.321086,ov_agriturismo_cisis_45.8521_13.3211,Agriturismo Cisis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/agriturismo_cisis_45.8521_13.3211.json,custom
45.852502,13.320769,ov_trattoria_strassoldo_45.8525_13.3208,Trattoria Strassoldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/trattoria_strassoldo_45.8525_13.3208.json,custom
45.857437,13.319775,ov_armonia_in_cucina_con_davide_45.8574_13.3198,Armonia in cucina con Davide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/armonia_in_cucina_con_davide_45.8574_13.3198.json,custom
45.856209,13.321072,ov_trattoria_fricheria_al_cavallino_45.8562_13.3211,Trattoria Fricheria al Cavallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/trattoria_fricheria_al_cavallino_45.8562_13.3211.json,custom
45.845780,13.323400,ov_master_jolly_45.8458_13.3234,Master JOLLY,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/master_jolly_45.8458_13.3234.json,custom
45.830664,13.333247,ov_ristorante_pizzeria_chichibio_45.8307_13.3332,Ristorante Pizzeria Chichibio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/ristorante_pizzeria_chichibio_45.8307_13.3332.json,custom
45.823766,13.340954,ov_trattoria_l_anguillaro_45.8238_13.3410,Trattoria L'Anguillaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/trattoria_languillaro_45.8238_13.3410.json,custom
45.826740,13.340910,ov_la_rotonda_di_cervignano_45.8267_13.3409,La Rotonda di Cervignano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/cervignano_del_friuli/pages/la_rotonda_di_cervignano_45.8267_13.3409.json,custom
