# lat,lng,id,name,building_type,type,url,page_type
# borgo_valsugana -- restaurants
46.043086,11.460702,ov_ristorante_cima_46.0431_11.4607,Ristorante Cima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/ristorante_cima_46.0431_11.4607.json,custom
46.063790,11.475620,ov_baraonda_pizzeria___ristorante_46.0638_11.4756,Baraonda pizzeria & Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/baraonda_pizzeria_ristorante_46.0638_11.4756.json,custom
46.052805,11.462606,ov_ristorante_bar_legno_di_pasquazzo_michel_46.0528_11.4626,Ristorante Bar Legno di Pasquazzo Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/ristorante_bar_legno_di_pasquazzo_michel_46.0528_11.4626.json,custom
46.055669,11.463466,ov_ristorante_pizzeria_dolomiti_46.0557_11.4635,Ristorante Pizzeria Dolomiti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/ristorante_pizzeria_dolomiti_46.0557_11.4635.json,custom
46.054600,11.459180,ov_al_vicolo___pizzeria_e_prodotti_da_forno_46.0546_11.4592,Al Vicolo - pizzeria e prodotti da forno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/al_vicolo_-_pizzeria_e_prodotti_da_forno_46.0546_11.4592.json,custom
46.050735,11.457187,ov_pizzeria_ristorante_la_rustica_46.0507_11.4572,Pizzeria Ristorante La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/pizzeria_ristorante_la_rustica_46.0507_11.4572.json,custom
46.053134,11.455572,ov_i_gusti_del_borgo_46.0531_11.4556,I Gusti Del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/i_gusti_del_borgo_46.0531_11.4556.json,custom
46.053969,11.456474,ov_ristorante_indiano_tajmahal_46.0540_11.4565,Ristorante Indiano Tajmahal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/ristorante_indiano_tajmahal_46.0540_11.4565.json,custom
46.053863,11.456227,ov_borgo_pizza___kebab_46.0539_11.4562,Borgo Pizza & Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/borgo_pizza_kebab_46.0539_11.4562.json,custom
46.053197,11.457089,ov_titti___pizza_da_asporto_e_pizzeria_46.0532_11.4571,Titti - Pizza da asporto e pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/borgo_valsugana/pages/titti_-_pizza_da_asporto_e_pizzeria_46.0532_11.4571.json,custom
