# lat,lng,id,name,building_type,type,url,page_type
# nebbiuno -- restaurants.csv
45.808122,8.514796,ov_ristorante_gatto_blu_45.8081_8.5148,Ristorante Gatto Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/ristorante_gatto_blu_45.8081_8.5148.json,custom
45.803009,8.516376,ov_circolo_ricreativo_tapigliano_45.8030_8.5164,Circolo Ricreativo Tapigliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/circolo_ricreativo_tapigliano_45.8030_8.5164.json,custom
45.821189,8.514596,ov_la_fenice_45.8212_8.5146,La Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/la_fenice_45.8212_8.5146.json,custom
45.794310,8.522508,ov_molly_malone_s_45.7943_8.5225,Molly Malone's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/molly_malones_45.7943_8.5225.json,custom
45.805438,8.523141,ov_focispina_45.8054_8.5231,FociSpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/focispina_45.8054_8.5231.json,custom
45.813981,8.526259,ov_bar_pagoda_45.8140_8.5263,Bar Pagoda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/bar_pagoda_45.8140_8.5263.json,custom
45.814034,8.526298,osm_la_pagoda_45.8140_8.5263,La Pagoda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/la_pagoda_45.8140_8.5263.json,custom
45.808140,8.514743,osm_gatto_blu_45.8081_8.5147,Gatto Blu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/gatto_blu_45.8081_8.5147.json,custom
45.800228,8.519434,osm_voglio_la_pizza_45.8002_8.5194,Voglio la pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/voglio_la_pizza_45.8002_8.5194.json,custom
45.805477,8.522973,osm_foci_spina_45.8055_8.5230,Foci Spina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nebbiuno/pages/foci_spina_45.8055_8.5230.json,custom
