# lat,lng,id,name,building_type,type,url,page_type
# san_marco_argentano -- bars_cafes
39.554078,16.126569,ov_caffe_tiberis_39.5541_16.1266,Caffe Tiberis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/caffe_tiberis_39.5541_16.1266.json,custom
39.560441,16.126531,ov_boemondo_drink___food_39.5604_16.1265,BoeMondo Drink & Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/boemondo_drink_food_39.5604_16.1265.json,custom
39.557364,16.117923,ov_caffe_store_barone_39.5574_16.1179,Caffe Store Barone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/caffe_store_barone_39.5574_16.1179.json,custom
39.557139,16.118696,ov_old_station_cafe_39.5571_16.1187,Old Station Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/old_station_cafe_39.5571_16.1187.json,custom
39.556653,16.119868,ov_los_amigos_de_juan_39.5567_16.1199,Los Amigos De Juan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/los_amigos_de_juan_39.5567_16.1199.json,custom
39.556611,16.119716,ov_le_baccanti_39.5566_16.1197,Le Baccanti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/le_baccanti_39.5566_16.1197.json,custom
39.556265,16.119007,ov_bar_rosticceria_l_archetto_39.5563_16.1190,Bar Rosticceria L'Archetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_rosticceria_larchetto_39.5563_16.1190.json,custom
39.556289,16.118546,ov_bar_centrale_39.5563_16.1185,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_centrale_39.5563_16.1185.json,custom
39.556548,16.118021,ov_bar_del_corso_39.5565_16.1180,Bar del corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_del_corso_39.5565_16.1180.json,custom
39.573250,16.144935,ov_doppio_zero_bar_39.5733_16.1449,Doppio Zero Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/doppio_zero_bar_39.5733_16.1449.json,custom
39.573069,16.142490,ov_tuturo_39.5731_16.1425,Tuturo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/tuturo_39.5731_16.1425.json,custom
39.608888,16.201310,ov_caf__cloris_39.6089_16.2013,Cafè Cloris,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/caf_cloris_39.6089_16.2013.json,custom
39.609747,16.198856,ov_uff__zona_coldiretti_san_marco_argentano_39.6097_16.1989,Uff. Zona Coldiretti San Marco Argentano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/uff_zona_coldiretti_san_marco_argentano_39.6097_16.1989.json,custom
39.594962,16.195994,ov_bar_eurobet___sala_slot___vlt_39.5950_16.1960,"Bar Eurobet , Sala Slot , VLT",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_eurobet_sala_slot_vlt_39.5950_16.1960.json,custom
39.595673,16.196385,ov_snack_bar__robinia_39.5957_16.1964,Snack Bar& Robinia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/snack_bar_robinia_39.5957_16.1964.json,custom
39.592971,16.246715,ov_bar_paninoteca_tavola_calda_iusi_39.5930_16.2467,Bar Paninoteca Tavola Calda Iusi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_paninoteca_tavola_calda_iusi_39.5930_16.2467.json,custom
39.604302,16.204010,ov_i_calabreselli_39.6043_16.2040,I Calabreselli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/i_calabreselli_39.6043_16.2040.json,custom
39.606419,16.207458,ov_good_morning_bar_39.6064_16.2075,Good Morning Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/good_morning_bar_39.6064_16.2075.json,custom
39.606087,16.208374,ov_planet_caf__disco_bar_39.6061_16.2084,Planet café disco bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/planet_caf_disco_bar_39.6061_16.2084.json,custom
39.605683,16.208237,ov_giupi_39.6057_16.2082,Giupi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/giupi_39.6057_16.2082.json,custom
39.605120,16.207320,ov_bar_pleasantville_39.6051_16.2073,Bar Pleasantville,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_pleasantville_39.6051_16.2073.json,custom
39.605545,16.207303,ov_cafe_cloris_gelateria_39.6055_16.2073,Cafe Cloris Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/cafe_cloris_gelateria_39.6055_16.2073.json,custom
39.622390,16.221120,ov_bar_rossillo_39.6224_16.2211,Bar Rossillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_marco_argentano/pages/bar_rossillo_39.6224_16.2211.json,custom
