# lat,lng,id,name,building_type,type,url,page_type
# petilia_policastro -- restaurants.csv
39.098918,16.811119,ov_ilea_resort_39.0989_16.8111,Ilea Resort,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/ilea_resort_39.0989_16.8111.json,custom
39.143492,16.739774,ov_aiello_grill_39.1435_16.7398,Aiello Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/aiello_grill_39.1435_16.7398.json,custom
39.143721,16.739961,ov_la_gamma_doro_39.1437_16.7400,La Gamma DOro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/la_gamma_doro_39.1437_16.7400.json,custom
39.141859,16.747946,ov_bar_ristorante_pizzeria_il_cacciatore_39.1419_16.7479,Bar Ristorante Pizzeria Il Cacciatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/bar_ristorante_pizzeria_il_cacciatore_39.1419_16.7479.json,custom
39.138108,16.757060,ov_l_acquolina_in_bocca_39.1381_16.7571,L'acquolina in bocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/lacquolina_in_bocca_39.1381_16.7571.json,custom
39.125719,16.781323,ov_la_basiliana_agriturismo_39.1257_16.7813,La Basiliana Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/la_basiliana_agriturismo_39.1257_16.7813.json,custom
39.112903,16.784610,ov_grill_house_39.1129_16.7846,Grill House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/grill_house_39.1129_16.7846.json,custom
39.112894,16.784492,ov_pizzeria_rosticceria_da_serafino_39.1129_16.7845,Pizzeria Rosticceria da Serafino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/pizzeria_rosticceria_da_serafino_39.1129_16.7845.json,custom
39.114635,16.783201,ov_bistrot_vide_chi_te_pii_39.1146_16.7832,Bistrot vide Chi Te Pii,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/bistrot_vide_chi_te_pii_39.1146_16.7832.json,custom
39.114648,16.783478,ov_la_lanterna_39.1146_16.7835,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/la_lanterna_39.1146_16.7835.json,custom
39.115732,16.787776,ov_le_delizie_di_piera_39.1157_16.7878,Le delizie di Piera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/le_delizie_di_piera_39.1157_16.7878.json,custom
39.114605,16.786164,ov_apa_salvatore_corsi_pizzaioli_39.1146_16.7862,APA Salvatore CORSI Pizzaioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/apa_salvatore_corsi_pizzaioli_39.1146_16.7862.json,custom
39.111340,16.788880,ov_hotel_ristorante_la_favola_antica_39.1113_16.7889,Hotel Ristorante la Favola Antica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/hotel_ristorante_la_favola_antica_39.1113_16.7889.json,custom
39.113220,16.790407,ov_l_angolo_dello_sfizio_39.1132_16.7904,L'Angolo dello Sfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/langolo_dello_sfizio_39.1132_16.7904.json,custom
39.111435,16.791962,ov_pizzeria_rosticceria_da_serafino_39.1114_16.7920,Pizzeria Rosticceria Da Serafino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/pizzeria_rosticceria_da_serafino_39.1114_16.7920.json,custom
39.110880,16.791560,ov_labkm0___ristorante_pizzeria_39.1109_16.7916,LabKm0 - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/labkm0_-_ristorante_pizzeria_39.1109_16.7916.json,custom
39.110471,16.789947,ov_aladino_39.1105_16.7899,Aladino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/aladino_39.1105_16.7899.json,custom
39.103993,16.793338,ov_agriturismo_al_taglio_nuova_gestione_39.1040_16.7933,Agriturismo al Taglio nuova gestione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/petilia_policastro/pages/agriturismo_al_taglio_nuova_gestione_39.1040_16.7933.json,custom
