# lat,lng,id,name,building_type,type,url,page_type
# francavilla_fontana -- restaurants
40.477167,17.609603,ov_ristorante_parco_laurito_40.4772_17.6096,Ristorante Parco Laurito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/ristorante_parco_laurito_40.4772_17.6096.json,custom
40.491223,17.594676,ov_agriturismo_monteciminiello_40.4912_17.5947,Agriturismo Monteciminiello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/agriturismo_monteciminiello_40.4912_17.5947.json,custom
40.509110,17.554670,ov_casina_spina_agriturismo_40.5091_17.5547,Casina Spina Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/casina_spina_agriturismo_40.5091_17.5547.json,custom
40.525940,17.583961,ov_uma_japanese_ristorante_40.5259_17.5840,Uma Japanese Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/uma_japanese_ristorante_40.5259_17.5840.json,custom
40.525214,17.586649,ov_quinto_borgo_40.5252_17.5866,Quinto Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/quinto_borgo_40.5252_17.5866.json,custom
40.524764,17.584101,ov_cin_cin_bar_40.5248_17.5841,Cin Cin Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/cin_cin_bar_40.5248_17.5841.json,custom
40.524058,17.584616,ov_galipa_ristorante_40.5241_17.5846,Galipa Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/galipa_ristorante_40.5241_17.5846.json,custom
40.526258,17.587345,ov_da_gianni_40.5263_17.5873,Da Gianni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/da_gianni_40.5263_17.5873.json,custom
40.526499,17.590380,ov_trattoria__pizzeria_sgrano_40.5265_17.5904,Trattoria- Pizzeria sgrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/trattoria-_pizzeria_sgrano_40.5265_17.5904.json,custom
40.529492,17.605178,ov_lucignolo_40.5295_17.6052,Lucignolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/lucignolo_40.5295_17.6052.json,custom
40.534370,17.587356,ov_carpe_diem_la_pizzeria_40.5344_17.5874,Carpe Diem La Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/carpe_diem_la_pizzeria_40.5344_17.5874.json,custom
40.532410,17.588932,ov_pizzeria_giangi_s_40.5324_17.5889,Pizzeria Giangi's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_giangis_40.5324_17.5889.json,custom
40.532081,17.591399,ov_rosso_130_pizza___grill_40.5321_17.5914,Rosso 130 Pizza & Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/rosso_130_pizza_grill_40.5321_17.5914.json,custom
40.531096,17.599943,ov_pizzeria_boomerang_40.5311_17.5999,Pizzeria Boomerang,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_boomerang_40.5311_17.5999.json,custom
40.526711,17.588471,ov_moku_sushi_40.5267_17.5885,Moku Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/moku_sushi_40.5267_17.5885.json,custom
40.527308,17.587380,ov_pizzeria_da_zio_ciccio_40.5273_17.5874,Pizzeria Da Zio Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_da_zio_ciccio_40.5273_17.5874.json,custom
40.531873,17.589828,ov_al_gusto_divino_40.5319_17.5898,Al Gusto Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/al_gusto_divino_40.5319_17.5898.json,custom
40.531462,17.583325,ov_bracito_pizza_grill_40.5315_17.5833,Bracito Pizza&Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bracito_pizzagrill_40.5315_17.5833.json,custom
40.531786,17.584342,ov_trecentogradi_pizzeria_40.5318_17.5843,Trecentogradi pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/trecentogradi_pizzeria_40.5318_17.5843.json,custom
40.531730,17.584081,ov_trecentogradi_fast_food_smash_burger_40.5317_17.5841,Trecentogradi fast food smash burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/trecentogradi_fast_food_smash_burger_40.5317_17.5841.json,custom
40.531688,17.583054,ov_borgo_san_giovanni_40.5317_17.5831,Borgo San Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/borgo_san_giovanni_40.5317_17.5831.json,custom
40.531447,17.582774,ov_attrattoria___cibo_e_vino_40.5314_17.5828,Attrattoria - cibo e vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/attrattoria_-_cibo_e_vino_40.5314_17.5828.json,custom
40.531417,17.582647,ov_trattoria_corrado_40.5314_17.5826,Trattoria Corrado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/trattoria_corrado_40.5314_17.5826.json,custom
40.531226,17.582040,ov_ristorante_arco_olimpio_40.5312_17.5820,Ristorante Arco Olimpio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/ristorante_arco_olimpio_40.5312_17.5820.json,custom
40.531064,17.582892,ov_pizzeria_napule_40.5311_17.5829,Pizzeria Napule,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_napule_40.5311_17.5829.json,custom
40.530763,17.582371,ov_18_metri_quadri_40.5308_17.5824,18 Metri Quadri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/18_metri_quadri_40.5308_17.5824.json,custom
40.530790,17.582359,ov_creperia_da_annamaria_40.5308_17.5824,Creperia da Annamaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/creperia_da_annamaria_40.5308_17.5824.json,custom
40.530547,17.582829,ov_suite_77_40.5305_17.5828,Suite 77,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/suite_77_40.5305_17.5828.json,custom
40.530530,17.582875,ov_pizza_a_pezzi_in_piazza_40.5305_17.5829,Pizza a Pezzi in Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizza_a_pezzi_in_piazza_40.5305_17.5829.json,custom
40.530581,17.582751,ov_casa_resta_40.5306_17.5828,Casa Resta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/casa_resta_40.5306_17.5828.json,custom
40.530167,17.582570,ov_giba_cafe_40.5302_17.5826,Giba Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/giba_cafe_40.5302_17.5826.json,custom
40.530032,17.581558,ov_sal8_quisibeve_40.5300_17.5816,Sal8.quisibeve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/sal8quisibeve_40.5300_17.5816.json,custom
40.530604,17.581718,ov_la_bodeghita_40.5306_17.5817,La Bodeghita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/la_bodeghita_40.5306_17.5817.json,custom
40.529712,17.582447,ov__aroma_40.5297_17.5824,'aroma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/aroma_40.5297_17.5824.json,custom
40.529529,17.584051,ov_pizzeria_queen_s_40.5295_17.5841,Pizzeria Queen's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_queens_40.5295_17.5841.json,custom
