# lat,lng,id,name,building_type,type,url,page_type
# roccapiemonte -- restaurants.csv
40.741523,14.630347,ov_dino_tramontano_chef_40.7415_14.6303,Dino Tramontano chef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/dino_tramontano_chef_40.7415_14.6303.json,custom
40.763516,14.680881,ov_d_artigian_pizza_e_fritti_40.7635_14.6809,D'Artigian Pizza e Fritti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/dartigian_pizza_e_fritti_40.7635_14.6809.json,custom
40.765931,14.674636,ov_polichetti__esperienze_di_pizza_40.7659_14.6746,"Polichetti, esperienze di pizza",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/polichetti_esperienze_di_pizza_40.7659_14.6746.json,custom
40.763919,14.697058,ov_pizzeria_da_tonino_40.7639_14.6971,Pizzeria da Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/pizzeria_da_tonino_40.7639_14.6971.json,custom
40.763460,14.693875,ov_core__e_mamma___ristorante_pizzeria_40.7635_14.6939,Core 'e Mamma - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/core_e_mamma_-_ristorante_pizzeria_40.7635_14.6939.json,custom
40.763467,14.694394,ov_countryclub_roccapiemonte_40.7635_14.6944,Countryclub Roccapiemonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/countryclub_roccapiemonte_40.7635_14.6944.json,custom
40.763724,14.689828,ov_pizzeriail_piccolo_principe_40.7637_14.6898,PizzeriaIl Piccolo Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/pizzeriail_piccolo_principe_40.7637_14.6898.json,custom
40.763907,14.689898,ov_pizzeria_nonna_rosa_40.7639_14.6899,Pizzeria Nonna Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/pizzeria_nonna_rosa_40.7639_14.6899.json,custom
40.763860,14.690028,ov_pizzeria_magari_roccapiemonte_40.7639_14.6900,Pizzeria Magari Roccapiemonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/pizzeria_magari_roccapiemonte_40.7639_14.6900.json,custom
40.762913,14.685185,ov_gianburrasca_village_40.7629_14.6852,Gianburrasca Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/gianburrasca_village_40.7629_14.6852.json,custom
40.763218,14.691854,ov_ristorante_da_carlo_40.7632_14.6919,Ristorante Da Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/ristorante_da_carlo_40.7632_14.6919.json,custom
